stage_history_id,opportunity_id,from_stage,to_stage,stage_entered_date,stage_exited_date,days_in_stage,changed_by_user_id,is_regression
SH-6066,OPP-4016,Lead,Opportunity,2023-01-27,2023-02-03,7.0,USR-3008,0
SH-6067,OPP-4016,Qualified Lead,Negotiation,2023-02-03,2023-02-25,22.0,USR-3008,0
SH-6068,OPP-4016,Opportunity,Negotiation,2023-02-25,2023-03-02,11.0,USR-3008,0
SH-6069,OPP-4017,,Qualified Lead,2021-12-16,2021-12-25,9.0,USR-3018,0
SH-6070,OPP-4017,Lead,Opportunity,2021-12-25,2022-01-12,18.0,USR-3018,0
SH-6071,OPP-4017,Qualified Lead,Negotiation,2022-01-12,2022-02-02,21.0,USR-3018,0
SH-6072,OPP-4017,Opportunity,Negotiation,2022-02-02,2022-02-15,7.0,USR-3018,0
SH-6073,OPP-4018,,Qualified Lead,2019-05-02,2019-05-13,11.0,USR-3074,0
SH-6074,OPP-4018,Lead,Opportunity,2019-05-13,2019-05-27,14.0,USR-3074,0
SH-6075,OPP-4018,Qualified Lead,Negotiation,2019-05-27,2019-07-24,58.0,USR-3074,0
SH-6076,OPP-4018,Opportunity,Negotiation,2019-07-24,2019-08-02,17.0,USR-3074,0
SH-6077,OPP-4019,,Qualified Lead,2024-09-10,2024-09-13,3.0,USR-3019,0
SH-6078,OPP-4019,Lead,Opportunity,2024-09-13,2024-09-22,9.0,USR-3019,0
SH-6079,OPP-4019,Qualified Lead,Negotiation,2024-09-22,2024-10-10,18.0,USR-3019,0
SH-6080,OPP-4019,Opportunity,Negotiation,2024-10-10,2024-10-14,43.0,USR-3019,0
SH-6081,OPP-4020,,Qualified Lead,2020-11-21,2020-11-26,5.0,USR-3016,0
SH-6082,OPP-4020,Lead,Opportunity,2020-11-26,2020-12-12,16.0,USR-3016,0
SH-6083,OPP-4020,Qualified Lead,Negotiation,2020-12-12,2020-12-28,16.0,USR-3016,0
SH-6084,OPP-4020,Opportunity,Negotiation,2020-12-28,2020-12-20,21.0,USR-3016,0
SH-6085,OPP-4021,,Qualified Lead,2018-09-17,2018-09-28,11.0,USR-3021,0
SH-6086,OPP-4021,Lead,Opportunity,2018-09-28,2018-10-08,10.0,USR-3021,0
SH-6087,OPP-4021,Qualified Lead,Negotiation,2018-10-08,2018-11-02,25.0,USR-3021,0
SH-6088,OPP-4021,Opportunity,Negotiation,2018-11-02,2018-11-02,9.0,USR-3021,0
SH-6089,OPP-4022,,Qualified Lead,2021-01-20,2021-01-29,9.0,USR-3004,0
SH-6090,OPP-4022,Lead,Opportunity,2021-01-29,2021-02-15,17.0,USR-3004,0
SH-6091,OPP-4022,Qualified Lead,Negotiation,2021-02-15,2021-04-13,57.0,USR-3004,0
SH-6092,OPP-4022,Opportunity,Negotiation,2021-04-13,2021-03-13,32.0,USR-3004,0
SH-6093,OPP-4023,,Qualified Lead,2016-09-20,2016-09-28,8.0,USR-3003,0
SH-6094,OPP-4023,Lead,Opportunity,2016-09-28,2016-10-08,10.0,USR-3003,0
SH-6095,OPP-4023,Qualified Lead,Negotiation,2016-10-08,2016-11-05,28.0,USR-3003,0
SH-6096,OPP-4023,Opportunity,Negotiation,2016-11-05,2016-10-26,15.0,USR-3003,0
SH-6097,OPP-4024,,Qualified Lead,2022-05-04,2022-05-09,5.0,USR-3062,0
SH-6098,OPP-4024,Lead,Opportunity,2022-05-09,2022-05-20,11.0,USR-3062,0
SH-6099,OPP-4024,Qualified Lead,Negotiation,2022-05-20,2022-07-02,43.0,USR-3062,0
SH-6100,OPP-4024,Opportunity,Negotiation,2022-07-02,2022-07-19,8.0,USR-3062,0
SH-6101,OPP-4025,,Qualified Lead,2023-01-16,2023-01-28,12.0,USR-3054,0
SH-6102,OPP-4025,Lead,Opportunity,2023-01-28,2023-02-03,6.0,USR-3054,0
SH-6103,OPP-4025,Qualified Lead,Negotiation,2023-02-03,2023-03-09,34.0,USR-3054,0
SH-6104,OPP-4025,Opportunity,Negotiation,2023-03-09,2023-02-22,22.0,USR-3054,0
SH-6105,OPP-4026,,Qualified Lead,2018-09-17,2018-09-19,2.0,USR-3043,0
SH-6106,OPP-4026,Lead,Opportunity,2018-09-19,2018-09-27,8.0,USR-3043,0
SH-6107,OPP-4026,Qualified Lead,Negotiation,2018-09-27,2018-10-21,24.0,USR-3043,0
SH-6108,OPP-4026,Opportunity,Negotiation,2018-10-21,2018-11-08,21.0,USR-3043,0
SH-6109,OPP-4027,,Qualified Lead,2019-01-08,2019-01-14,6.0,USR-3051,0
SH-6110,OPP-4027,Lead,Opportunity,2019-01-14,2019-01-28,14.0,USR-3051,0
SH-6111,OPP-4027,Qualified Lead,Negotiation,2019-01-28,2019-03-04,35.0,USR-3051,0
SH-6112,OPP-4027,Opportunity,Negotiation,2019-03-04,2019-04-16,8.0,USR-3051,0
SH-6113,OPP-4028,,Qualified Lead,2018-11-22,2018-11-28,6.0,USR-3037,0
SH-6114,OPP-4028,Lead,Opportunity,2018-11-28,2018-12-15,17.0,USR-3037,0
SH-6115,OPP-4028,Qualified Lead,Negotiation,2018-12-15,2019-01-10,26.0,USR-3037,0
SH-6116,OPP-4028,Opportunity,Negotiation,2019-01-10,2019-02-11,43.0,USR-3037,0
SH-6117,OPP-4029,,Qualified Lead,2015-10-18,2015-10-25,7.0,USR-3033,0
SH-6118,OPP-4029,Lead,Opportunity,2015-10-25,2015-10-30,5.0,USR-3033,0
SH-6119,OPP-4029,Qualified Lead,Negotiation,2015-10-30,2015-12-08,39.0,USR-3033,0
SH-6120,OPP-4029,Opportunity,Negotiation,2015-12-08,2015-12-31,42.0,USR-3033,0
SH-6121,OPP-4030,,Qualified Lead,2018-02-08,2018-02-13,5.0,USR-3028,0
SH-6122,OPP-4030,Lead,Opportunity,2018-02-13,2018-02-21,8.0,USR-3028,0
SH-6123,OPP-4030,Qualified Lead,Negotiation,2018-02-21,2018-03-07,14.0,USR-3028,0
SH-6124,OPP-4030,Opportunity,Negotiation,2018-03-07,2018-03-04,13.0,USR-3028,0
SH-6125,OPP-4031,,Qualified Lead,2018-09-06,2018-09-13,7.0,USR-3043,0
SH-6126,OPP-4031,Lead,Opportunity,2018-09-13,2018-09-25,12.0,USR-3043,0
SH-6127,OPP-4031,Qualified Lead,Negotiation,2018-09-25,2018-10-13,18.0,USR-3043,0
SH-6128,OPP-4031,Opportunity,Negotiation,2018-10-13,2018-10-17,26.0,USR-3043,0
SH-6129,OPP-4032,,Qualified Lead,2017-11-15,2017-11-19,4.0,USR-3008,0
SH-6130,OPP-4032,Lead,Opportunity,2017-11-19,2017-11-27,8.0,USR-3008,0
SH-6131,OPP-4032,Qualified Lead,Negotiation,2017-11-27,2018-01-29,63.0,USR-3008,0
SH-6132,OPP-4032,Opportunity,Negotiation,2018-01-29,2017-12-31,38.0,USR-3008,0
SH-6133,OPP-4033,,Qualified Lead,2023-05-24,2023-06-05,12.0,USR-3078,0
SH-6134,OPP-4033,Lead,Opportunity,2023-06-05,2023-06-10,5.0,USR-3078,0
SH-6135,OPP-4033,Qualified Lead,Negotiation,2023-06-10,2023-08-12,63.0,USR-3078,0
SH-6136,OPP-4033,Opportunity,Negotiation,2023-08-12,2023-09-17,47.0,USR-3078,0
SH-6137,OPP-4034,,Qualified Lead,2024-10-17,2024-10-24,7.0,USR-3062,0
SH-6138,OPP-4034,Lead,Opportunity,2024-10-24,2024-11-01,8.0,USR-3062,0
SH-6139,OPP-4034,Qualified Lead,Negotiation,2024-11-01,2024-11-20,19.0,USR-3062,0
SH-6140,OPP-4034,Opportunity,Negotiation,2024-11-20,2024-11-26,10.0,USR-3062,0
SH-6141,OPP-4035,,Qualified Lead,2024-03-10,2024-03-20,10.0,USR-3057,0
SH-6142,OPP-4035,Lead,Opportunity,2024-03-20,2024-04-07,18.0,USR-3057,0
SH-6143,OPP-4035,Qualified Lead,Negotiation,2024-04-07,2024-05-31,54.0,USR-3057,0
SH-6144,OPP-4035,Opportunity,Negotiation,2024-05-31,2024-05-07,31.0,USR-3057,0
SH-6145,OPP-4036,,Qualified Lead,2017-11-21,2017-12-02,11.0,USR-3054,0
SH-6146,OPP-4036,Lead,Opportunity,2017-12-02,2017-12-12,10.0,USR-3054,0
SH-6147,OPP-4036,Qualified Lead,Negotiation,2017-12-12,2018-01-03,22.0,USR-3054,0
SH-6148,OPP-4036,Opportunity,Negotiation,2018-01-03,2018-02-02,46.0,USR-3054,0
SH-6149,OPP-4037,,Qualified Lead,2023-02-11,2023-02-23,12.0,USR-3046,0
SH-6150,OPP-4037,Lead,Opportunity,2023-02-23,2023-03-06,11.0,USR-3046,0
SH-6151,OPP-4037,Qualified Lead,Negotiation,2023-03-06,2023-04-05,30.0,USR-3046,0
SH-6152,OPP-4037,Opportunity,Negotiation,2023-04-05,2023-04-07,11.0,USR-3046,0
SH-6153,OPP-4038,,Qualified Lead,2017-08-03,2017-08-11,8.0,USR-3053,0
SH-6154,OPP-4038,Lead,Opportunity,2017-08-11,2017-08-17,6.0,USR-3053,0
SH-6155,OPP-4038,Qualified Lead,Negotiation,2017-08-17,2017-09-06,20.0,USR-3053,0
SH-6156,OPP-4038,Opportunity,Negotiation,2017-09-06,2017-09-22,40.0,USR-3053,0
SH-6157,OPP-4039,,Qualified Lead,2023-10-11,2023-10-22,11.0,USR-3046,0
SH-6158,OPP-4039,Lead,Opportunity,2023-10-22,2023-11-09,18.0,USR-3046,0
SH-6159,OPP-4039,Qualified Lead,Negotiation,2023-11-09,2023-11-25,16.0,USR-3046,0
SH-6160,OPP-4039,Opportunity,Negotiation,2023-11-25,2023-12-09,18.0,USR-3046,0
SH-6161,OPP-4040,,Qualified Lead,2023-07-18,2023-07-25,7.0,USR-3035,0
SH-6162,OPP-4040,Lead,Opportunity,2023-07-25,2023-07-30,5.0,USR-3035,0
SH-6163,OPP-4040,Qualified Lead,Negotiation,2023-07-30,2023-08-11,12.0,USR-3035,0
SH-6164,OPP-4040,Opportunity,Negotiation,2023-08-11,2023-08-18,11.0,USR-3035,0
SH-6165,OPP-4041,,Qualified Lead,2016-06-06,2016-06-17,11.0,USR-3077,0
SH-6166,OPP-4041,Lead,Opportunity,2016-06-17,2016-06-24,7.0,USR-3077,0
SH-6167,OPP-4041,Qualified Lead,Negotiation,2016-06-24,2016-07-20,26.0,USR-3077,0
SH-6168,OPP-4041,Opportunity,Negotiation,2016-07-20,2016-09-28,50.0,USR-3077,0
SH-6169,OPP-4042,,Qualified Lead,2024-08-05,2024-08-16,11.0,USR-3013,0
SH-6170,OPP-4042,Lead,Opportunity,2024-08-16,2024-09-01,16.0,USR-3013,0
SH-6171,OPP-4042,Qualified Lead,Negotiation,2024-09-01,2024-09-19,18.0,USR-3013,0
SH-6172,OPP-4042,Opportunity,Negotiation,2024-09-19,2024-09-04,27.0,USR-3013,0
SH-6173,OPP-4043,,Qualified Lead,2022-11-16,2022-11-23,7.0,USR-3052,0
SH-6174,OPP-4043,Lead,Opportunity,2022-11-23,2022-12-09,16.0,USR-3052,0
SH-6175,OPP-4043,Qualified Lead,Negotiation,2022-12-09,2023-01-03,25.0,USR-3052,0
SH-6176,OPP-4043,Opportunity,Negotiation,2023-01-03,2023-03-01,7.0,USR-3052,0
SH-6177,OPP-4044,,Qualified Lead,2020-05-28,2020-06-08,11.0,USR-3034,0
SH-6178,OPP-4044,Lead,Opportunity,2020-06-08,2020-06-25,17.0,USR-3034,0
SH-6179,OPP-4044,Qualified Lead,Negotiation,2020-06-25,2020-07-16,21.0,USR-3034,0
SH-6180,OPP-4044,Opportunity,Negotiation,2020-07-16,2020-08-12,15.0,USR-3034,0
SH-6181,OPP-4045,,Qualified Lead,2017-03-11,2017-03-20,9.0,USR-3022,0
SH-6182,OPP-4045,Lead,Opportunity,2017-03-20,2017-03-26,6.0,USR-3022,0
SH-6183,OPP-4045,Qualified Lead,Negotiation,2017-03-26,2017-04-15,20.0,USR-3022,0
SH-6184,OPP-4045,Opportunity,Negotiation,2017-04-15,2017-04-28,26.0,USR-3022,0
SH-6185,OPP-4046,,Qualified Lead,2020-08-06,2020-08-12,6.0,USR-3004,0
SH-6186,OPP-4046,Lead,Opportunity,2020-08-12,2020-08-28,16.0,USR-3004,0
SH-6187,OPP-4046,Qualified Lead,Negotiation,2020-08-28,2020-09-28,31.0,USR-3004,0
SH-6188,OPP-4046,Opportunity,Negotiation,2020-09-28,2020-09-09,28.0,USR-3004,0
SH-6189,OPP-4047,,Qualified Lead,2024-08-17,2024-08-20,3.0,USR-3061,0
SH-6190,OPP-4047,Lead,Opportunity,2024-08-20,2024-09-02,13.0,USR-3061,0
SH-6191,OPP-4047,Qualified Lead,Negotiation,2024-09-02,2024-09-22,20.0,USR-3061,0
SH-6192,OPP-4047,Opportunity,Negotiation,2024-09-22,2024-11-06,11.0,USR-3061,0
SH-6193,OPP-4048,,Qualified Lead,2022-03-01,2022-03-04,3.0,USR-3004,0
SH-6194,OPP-4048,Lead,Opportunity,2022-03-04,2022-03-09,5.0,USR-3004,0
SH-6195,OPP-4048,Qualified Lead,Negotiation,2022-03-09,2022-03-27,18.0,USR-3004,0
SH-6196,OPP-4048,Opportunity,Negotiation,2022-03-27,2022-04-26,9.0,USR-3004,0
SH-6197,OPP-4049,,Qualified Lead,2016-11-22,2016-11-27,5.0,USR-3000,0
SH-6198,OPP-4049,Lead,Opportunity,2016-11-27,2016-12-17,20.0,USR-3000,0
SH-6199,OPP-4049,Qualified Lead,Negotiation,2016-12-17,2016-12-27,10.0,USR-3000,0
SH-6200,OPP-4049,Opportunity,Negotiation,2016-12-27,2016-12-14,27.0,USR-3000,0
SH-6201,OPP-4050,,Qualified Lead,2020-10-14,2020-10-19,5.0,USR-3053,0
SH-6202,OPP-4050,Lead,Opportunity,2020-10-19,2020-11-06,18.0,USR-3053,0
SH-6203,OPP-4050,Qualified Lead,Negotiation,2020-11-06,2020-11-16,10.0,USR-3053,0
SH-6204,OPP-4050,Opportunity,Negotiation,2020-11-16,2020-12-18,16.0,USR-3053,0
SH-6205,OPP-4051,,Qualified Lead,2023-07-14,2023-07-17,3.0,USR-3069,0
SH-6206,OPP-4051,Lead,Opportunity,2023-07-17,2023-07-26,9.0,USR-3069,0
SH-6207,OPP-4051,Qualified Lead,Negotiation,2023-07-26,2023-08-08,13.0,USR-3069,0
SH-6208,OPP-4051,Opportunity,Negotiation,2023-08-08,2023-09-27,7.0,USR-3069,0
SH-6209,OPP-4051,Negotiation,Opportunity,2023-08-19,,,USR-3069,1
SH-6210,OPP-4052,,Qualified Lead,2021-11-11,2021-11-21,10.0,USR-3051,0
SH-6211,OPP-4052,Lead,Opportunity,2021-11-21,2021-12-11,20.0,USR-3051,0
SH-6212,OPP-4052,Qualified Lead,Negotiation,2021-12-11,2022-01-28,48.0,USR-3051,0
SH-6213,OPP-4052,Opportunity,Negotiation,2022-01-28,2022-02-25,37.0,USR-3051,0
SH-6214,OPP-4053,,Qualified Lead,2018-11-10,2018-11-13,3.0,USR-3043,0
SH-6215,OPP-4053,Lead,Opportunity,2018-11-13,2018-11-19,6.0,USR-3043,0
SH-6216,OPP-4053,Qualified Lead,Negotiation,2018-11-19,2018-11-30,11.0,USR-3043,0
SH-6217,OPP-4053,Opportunity,Negotiation,2018-11-30,2019-01-10,23.0,USR-3043,0
SH-6218,OPP-4054,,Qualified Lead,2017-05-21,2017-05-29,8.0,USR-3036,0
SH-6219,OPP-4054,Lead,Opportunity,2017-05-29,2017-06-13,15.0,USR-3036,0
SH-6220,OPP-4054,Qualified Lead,Negotiation,2017-06-13,2017-07-02,19.0,USR-3036,0
SH-6221,OPP-4054,Opportunity,Negotiation,2017-07-02,2017-07-11,12.0,USR-3036,0
SH-6222,OPP-4055,,Qualified Lead,2023-07-03,2023-07-10,7.0,USR-3041,0
SH-6223,OPP-4055,Lead,Opportunity,2023-07-10,2023-07-28,18.0,USR-3041,0
SH-6224,OPP-4055,Qualified Lead,Negotiation,2023-07-28,2023-08-29,32.0,USR-3041,0
SH-6225,OPP-4055,Opportunity,Negotiation,2023-08-29,2023-07-28,23.0,USR-3041,0
SH-6226,OPP-4056,,Qualified Lead,2020-10-01,2020-10-05,4.0,USR-3041,0
SH-6227,OPP-4056,Lead,Opportunity,2020-10-05,2020-10-15,10.0,USR-3041,0
SH-6228,OPP-4056,Qualified Lead,Negotiation,2020-10-15,2020-10-30,15.0,USR-3041,0
SH-6229,OPP-4056,Opportunity,Negotiation,2020-10-30,2020-11-03,26.0,USR-3041,0
SH-6230,OPP-4057,,Qualified Lead,2015-05-21,2015-06-02,12.0,USR-3011,0
SH-6231,OPP-4057,Lead,Opportunity,2015-06-02,2015-06-17,15.0,USR-3011,0
SH-6232,OPP-4057,Qualified Lead,Negotiation,2015-06-17,2015-07-22,35.0,USR-3011,0
SH-6233,OPP-4057,Opportunity,Negotiation,2015-07-22,2015-06-27,15.0,USR-3011,0
SH-6234,OPP-4058,,Qualified Lead,2016-08-27,2016-08-30,3.0,USR-3074,0
SH-6235,OPP-4058,Lead,Opportunity,2016-08-30,2016-09-18,19.0,USR-3074,0
SH-6236,OPP-4058,Qualified Lead,Negotiation,2016-09-18,2016-09-30,12.0,USR-3074,0
SH-6237,OPP-4058,Opportunity,Negotiation,2016-09-30,2016-11-12,7.0,USR-3074,0
SH-6238,OPP-4059,,Qualified Lead,2017-04-07,2017-04-15,8.0,USR-3069,0
SH-6239,OPP-4059,Lead,Opportunity,2017-04-15,2017-05-05,20.0,USR-3069,0
SH-6240,OPP-4059,Qualified Lead,Negotiation,2017-05-05,2017-05-28,23.0,USR-3069,0
SH-6241,OPP-4059,Opportunity,Negotiation,2017-05-28,2017-08-13,45.0,USR-3069,0
SH-6242,OPP-4060,,Qualified Lead,2019-10-05,2019-10-16,11.0,USR-3016,0
SH-6243,OPP-4060,Lead,Opportunity,2019-10-16,2019-10-27,11.0,USR-3016,0
SH-6244,OPP-4060,Qualified Lead,Negotiation,2019-10-27,2019-12-20,54.0,USR-3016,0
SH-6245,OPP-4060,Opportunity,Negotiation,2019-12-20,2019-12-10,48.0,USR-3016,0
SH-6246,OPP-4061,,Qualified Lead,2022-05-07,2022-05-18,11.0,USR-3066,0
SH-6247,OPP-4061,Lead,Opportunity,2022-05-18,2022-05-24,6.0,USR-3066,0
SH-6248,OPP-4061,Qualified Lead,Negotiation,2022-05-24,2022-06-17,24.0,USR-3066,0
SH-6249,OPP-4061,Opportunity,Negotiation,2022-06-17,2022-06-28,7.0,USR-3066,0
SH-6250,OPP-4062,,Qualified Lead,2015-09-19,2015-09-25,6.0,USR-3041,0
SH-6251,OPP-4062,Lead,Opportunity,2015-09-25,2015-10-15,20.0,USR-3041,0
SH-6252,OPP-4062,Qualified Lead,Negotiation,2015-10-15,2015-10-29,14.0,USR-3041,0
SH-6253,OPP-4062,Opportunity,Negotiation,2015-10-29,2015-11-21,14.0,USR-3041,0
SH-6254,OPP-4063,,Qualified Lead,2024-04-07,2024-04-17,10.0,USR-3003,0
SH-6255,OPP-4063,Lead,Opportunity,2024-04-17,2024-04-28,11.0,USR-3003,0
SH-6256,OPP-4063,Qualified Lead,Negotiation,2024-04-28,2024-05-25,27.0,USR-3003,0
SH-6257,OPP-4063,Opportunity,Negotiation,2024-05-25,2024-05-06,27.0,USR-3003,0
SH-6258,OPP-4064,,Qualified Lead,2023-09-17,2023-09-29,12.0,USR-3035,0
SH-6259,OPP-4064,Lead,Opportunity,2023-09-29,2023-10-14,15.0,USR-3035,0
SH-6260,OPP-4064,Qualified Lead,Negotiation,2023-10-14,2023-10-26,12.0,USR-3035,0
SH-6261,OPP-4064,Opportunity,Negotiation,2023-10-26,2023-11-07,21.0,USR-3035,0
SH-6262,OPP-4065,,Qualified Lead,2024-12-28,2024-12-31,12.0,USR-3003,0
SH-6263,OPP-4065,Lead,Opportunity,2024-12-31,2024-12-31,9.0,USR-3003,0
SH-6264,OPP-4065,Qualified Lead,Negotiation,2024-12-31,2024-12-31,13.0,USR-3003,0
SH-6265,OPP-4065,Opportunity,Negotiation,2024-12-31,2024-12-31,26.0,USR-3003,0
SH-6266,OPP-4066,,Qualified Lead,2017-02-05,2017-02-07,2.0,USR-3052,0
SH-6267,OPP-4066,Lead,Opportunity,2017-02-07,2017-02-13,6.0,USR-3052,0
SH-6268,OPP-4066,Qualified Lead,Negotiation,2017-02-13,2017-03-04,19.0,USR-3052,0
SH-6269,OPP-4066,Opportunity,Negotiation,2017-03-04,2017-03-05,23.0,USR-3052,0
SH-6270,OPP-4067,,Qualified Lead,2022-11-08,2022-11-10,2.0,USR-3009,0
SH-6271,OPP-4067,Lead,Opportunity,2022-11-10,2022-11-29,19.0,USR-3009,0
SH-6272,OPP-4067,Qualified Lead,Negotiation,2022-11-29,2022-12-21,22.0,USR-3009,0
SH-6273,OPP-4067,Opportunity,Negotiation,2022-12-21,2022-11-27,11.0,USR-3009,0
SH-6274,OPP-4068,,Qualified Lead,2024-07-04,2024-07-09,5.0,USR-3036,0
SH-6275,OPP-4068,Lead,Opportunity,2024-07-09,2024-07-19,10.0,USR-3036,0
