contract_id,opportunity_id,account_id,contract_start_date,contract_end_date,contract_duration_months,contract_value,payment_terms,signed_date,contract_status,has_royalty_clause,royalty_pct,royalty_threshold_usd,number_of_revisions
CON-8026,OPP-4045,ACC-1214,2017-04-28,2018-10-20,18,218500,Upon signing,2017-04-28,Expired,0,,,2
CON-8027,OPP-4046,ACC-1088,2020-09-09,2021-09-04,12,103000,Upon signing,2020-09-09,Active,0,,,5
CON-8028,OPP-4047,ACC-1039,2024-11-06,2025-05-05,6,308000,Upon signing,2024-11-06,Active,1,8.2,400000.0,5
CON-8029,OPP-4049,ACC-1050,2016-12-14,2019-11-29,36,69500,Net 30,2016-12-14,Active,0,,,0
CON-8030,OPP-4050,ACC-1014,2020-12-18,2021-06-16,6,263000,Net 60,2020-12-18,Expired,0,,,4
CON-8031,OPP-4051,ACC-1022,2023-09-27,2025-09-16,24,224000,Net 30,2023-09-27,Active,1,5.1,291000.0,4
CON-8032,OPP-4053,ACC-1193,2019-01-10,2021-12-25,36,376000,Net 30,2019-01-10,Active,0,,,3
CON-8033,OPP-4054,ACC-1202,2017-07-11,2018-07-06,12,133500,50% upfront / 50% on delivery,2017-07-11,Active,0,,,5
CON-8034,OPP-4055,ACC-1007,2023-07-28,2024-01-24,6,500000,50% upfront / 50% on delivery,2023-07-28,Renewed,0,,,2
CON-8035,OPP-4056,ACC-1177,2020-11-03,2021-10-29,12,159500,50% upfront / 50% on delivery,2020-11-03,Expired,0,,,1
CON-8036,OPP-4057,ACC-1107,2015-06-27,2016-06-21,12,77000,50% upfront / 50% on delivery,2015-06-27,Renewed,0,,,2
CON-8037,OPP-4058,ACC-1069,2016-11-12,2018-05-06,18,526000,Net 60,2016-11-12,Cancelled,1,8.8,684000.0,2
CON-8038,OPP-4061,ACC-1032,2022-06-28,2022-12-25,6,249000,Upon signing,2022-06-28,Expired,1,9.4,324000.0,2
CON-8039,OPP-4062,ACC-1050,2015-11-21,2017-11-10,24,500000,Upon signing,2015-11-21,Cancelled,0,,,0
CON-8040,OPP-4063,ACC-1200,2024-05-06,2025-05-01,12,280000,Monthly instalments,2024-05-06,Active,0,,,4
CON-8041,OPP-4064,ACC-1218,2023-11-07,2024-11-01,12,321000,Net 30,2023-11-07,Active,0,,,2
CON-8042,OPP-4066,ACC-1028,2017-03-05,2020-02-18,36,182000,Net 60,2017-03-05,Active,0,,,4
CON-8043,OPP-4067,ACC-1116,2022-11-27,2023-05-26,6,90500,Monthly instalments,2022-11-27,Active,0,,,5
CON-8044,OPP-4068,ACC-1045,2024-08-29,2025-02-25,6,426000,50% upfront / 50% on delivery,2024-08-29,Expired,0,,,0
CON-8045,OPP-4070,ACC-1069,2019-10-14,2021-04-06,18,227000,Upon signing,2019-10-14,Renewed,0,,,1
CON-8046,OPP-4071,ACC-1007,2024-01-13,2026-01-02,24,500000,Upon signing,2024-01-13,Active,0,,,2
CON-8047,OPP-4072,ACC-1169,2023-06-03,2023-11-30,6,251000,Upon signing,2023-06-03,Expired,0,,,5
CON-8048,OPP-4073,ACC-1030,2020-12-12,2022-06-05,18,83000,Net 30,2020-12-12,Renewed,0,,,2
CON-8049,OPP-4074,ACC-1124,2021-08-28,2023-08-18,24,202500,Upon signing,2021-08-28,Renewed,0,,,4
CON-8050,OPP-4075,ACC-1157,2023-06-30,2024-06-24,12,129000,Monthly instalments,2023-06-30,Active,0,,,5
CON-8051,OPP-4076,ACC-1024,2019-07-23,2020-07-17,12,209500,50% upfront / 50% on delivery,2019-07-23,Active,0,,,5
CON-8052,OPP-4078,ACC-1096,2019-04-07,2020-04-01,12,348000,Monthly instalments,2019-04-07,Cancelled,0,,,4
CON-8053,OPP-4079,ACC-1051,2023-01-12,2023-07-11,6,226000,Upon signing,2023-01-12,Renewed,0,,,2
CON-8054,OPP-4080,ACC-1159,2023-11-08,2024-11-02,12,224500,Monthly instalments,2023-11-08,Active,0,,,4
CON-8055,OPP-4081,ACC-1129,2020-10-07,2022-09-27,24,116000,Net 60,2020-10-07,Expired,0,,,3
CON-8056,OPP-4082,ACC-1047,2019-01-29,2022-01-13,36,308500,Net 30,2019-01-29,Expired,0,,,3
CON-8057,OPP-4085,ACC-1066,2022-04-26,2023-04-21,12,72000,Monthly instalments,2022-04-26,Expired,0,,,5
CON-8058,OPP-4088,ACC-1014,2021-10-28,2022-04-26,6,197500,Net 30,2021-10-28,Renewed,0,,,4
CON-8059,OPP-4092,ACC-1209,2023-11-28,2024-11-22,12,151000,Monthly instalments,2023-11-28,Active,0,,,3
CON-8060,OPP-4093,ACC-1161,2023-06-03,2025-05-23,24,286000,Upon signing,2023-06-03,Active,0,,,3
CON-8061,OPP-4094,ACC-1216,2023-08-06,2025-07-26,24,134000,Net 60,2023-08-06,Expired,0,,,5
CON-8062,OPP-4095,ACC-1094,2020-07-09,2021-12-31,18,72500,Monthly instalments,2020-07-09,Active,0,,,1
CON-8063,OPP-4096,ACC-1012,2022-10-13,2025-09-27,36,86000,50% upfront / 50% on delivery,2022-10-13,Expired,0,,,0
CON-8064,OPP-4099,ACC-1177,2022-12-10,2023-06-08,6,160000,Net 60,2022-12-10,Expired,0,,,1
CON-8065,OPP-4100,ACC-1155,2015-10-02,2017-03-25,18,445500,Net 30,2015-10-02,Expired,0,,,0
CON-8066,OPP-4101,ACC-1126,2024-04-03,2026-03-24,24,121500,Net 60,2024-04-03,Active,0,,,2
CON-8067,OPP-4102,ACC-1191,2024-06-20,2025-06-15,12,108500,Net 30,2024-06-20,Renewed,0,,,0
CON-8068,OPP-4103,ACC-1142,2016-05-18,2019-05-03,36,260500,Monthly instalments,2016-05-18,Active,1,14.3,339000.0,4
CON-8069,OPP-4107,ACC-1116,2022-02-03,2023-01-29,12,320000,Net 60,2022-02-03,Renewed,0,,,3
CON-8070,OPP-4108,ACC-1190,2021-11-02,2023-10-23,24,44000,Net 30,2021-11-02,Expired,0,,,1
CON-8071,OPP-4110,ACC-1121,2021-08-12,2023-08-02,24,205000,50% upfront / 50% on delivery,2021-08-12,Active,0,,,5
CON-8072,OPP-4115,ACC-1111,2015-04-25,2016-10-16,18,152000,50% upfront / 50% on delivery,2015-04-25,Renewed,0,,,1
CON-8073,OPP-4116,ACC-1205,2016-05-06,2016-11-02,6,336500,Monthly instalments,2016-05-06,Expired,1,6.8,437000.0,1
CON-8074,OPP-4117,ACC-1111,2016-11-02,2018-04-26,18,170500,50% upfront / 50% on delivery,2016-11-02,Active,0,,,2
CON-8075,OPP-4118,ACC-1062,2020-02-12,2023-01-27,36,434000,Monthly instalments,2020-02-12,Active,1,9.2,564000.0,4
CON-8076,OPP-4120,ACC-1068,2024-04-18,2026-04-08,24,350000,Monthly instalments,2024-04-18,Active,0,,,2
CON-8077,OPP-4121,ACC-1088,2018-05-20,2019-11-11,18,81000,50% upfront / 50% on delivery,2018-05-20,Expired,0,,,1
CON-8078,OPP-4122,ACC-1213,2024-01-20,2027-01-04,36,102000,Upon signing,2024-01-20,Renewed,0,,,3
CON-8079,OPP-4123,ACC-1025,2024-08-02,2025-01-29,6,117500,Net 30,2024-08-02,Renewed,0,,,4
CON-8080,OPP-4124,ACC-1008,2019-04-10,2020-10-01,18,280000,50% upfront / 50% on delivery,2019-04-10,Expired,0,,,4
CON-8081,OPP-4125,ACC-1068,2024-12-31,2025-12-26,12,125500,Upon signing,2024-12-31,Active,0,,,5
CON-8082,OPP-4126,ACC-1200,2023-02-15,2026-01-30,36,91500,Net 60,2023-02-15,Expired,0,,,3
CON-8083,OPP-4128,ACC-1068,2022-07-27,2023-07-22,12,249500,Net 60,2022-07-27,Active,0,,,3
CON-8084,OPP-4130,ACC-1111,2020-04-05,2023-03-21,36,543500,Net 30,2020-04-05,Expired,1,10.7,707000.0,4
CON-8085,OPP-4133,ACC-1087,2016-01-18,2019-01-02,36,311000,Upon signing,2016-01-18,Renewed,0,,,1
CON-8086,OPP-4134,ACC-1215,2018-09-03,2019-08-29,12,80000,50% upfront / 50% on delivery,2018-09-03,Active,0,,,4
CON-8087,OPP-4135,ACC-1060,2019-06-18,2019-12-15,6,216000,50% upfront / 50% on delivery,2019-06-18,Expired,0,,,0
CON-8088,OPP-4136,ACC-1116,2017-08-21,2020-08-05,36,291500,Net 60,2017-08-21,Expired,0,,,5
CON-8089,OPP-4137,ACC-1103,2023-12-23,2026-12-07,36,212000,50% upfront / 50% on delivery,2023-12-23,Expired,0,,,3
CON-8090,OPP-4138,ACC-1124,2017-12-04,2019-11-24,24,124500,Net 60,2017-12-04,Renewed,0,,,5
CON-8091,OPP-4139,ACC-1028,2020-06-16,2021-12-08,18,144500,Upon signing,2020-06-16,Expired,0,,,1
CON-8092,OPP-4140,ACC-1200,2016-02-29,2017-08-22,18,268500,Net 30,2016-02-29,Active,0,,,1
CON-8093,OPP-4141,ACC-1106,2021-09-10,2023-08-31,24,199000,Net 30,2021-09-10,Expired,0,,,1
CON-8094,OPP-4142,ACC-1186,2016-11-03,2018-10-24,24,62500,Net 60,2016-11-03,Expired,0,,,1
CON-8095,OPP-4143,ACC-1181,2022-01-08,2023-12-29,24,214500,50% upfront / 50% on delivery,2022-01-08,Expired,0,,,1
CON-8096,OPP-4144,ACC-1128,2018-02-05,2019-01-31,12,348500,Monthly instalments,2018-02-05,Expired,0,,,2
CON-8097,OPP-4145,ACC-1087,2017-02-16,2018-08-10,18,48500,Monthly instalments,2017-02-16,Active,0,,,3
CON-8098,OPP-4146,ACC-1065,2018-02-05,2019-07-30,18,219500,Net 60,2018-02-05,Expired,0,,,2
CON-8099,OPP-4148,ACC-1068,2019-09-27,2020-09-21,12,221500,Net 60,2019-09-27,Expired,0,,,3
CON-8100,OPP-4149,ACC-1063,2019-07-08,2021-06-27,24,395000,Upon signing,2019-07-08,Active,0,,,4
CON-8101,OPP-4150,ACC-1142,2016-01-02,2016-06-30,6,162500,Net 60,2016-01-02,Active,0,,,0
CON-8102,OPP-4151,ACC-1089,2021-11-11,2022-11-06,12,862500,Upon signing,2021-11-11,Expired,1,12.1,1121000.0,2
CON-8103,OPP-4152,ACC-1185,2024-06-06,2025-06-01,12,74000,50% upfront / 50% on delivery,2024-06-06,Active,0,,,2
CON-8104,OPP-4155,ACC-1214,2017-07-24,2018-01-20,6,200000,Net 30,2017-07-24,Active,0,,,2
CON-8105,OPP-4156,ACC-1206,2018-08-23,2019-08-18,12,500000,Net 30,2018-08-23,Active,0,,,2
CON-8106,OPP-4157,ACC-1071,2017-06-29,2017-12-26,6,117000,Monthly instalments,2017-06-29,Renewed,0,,,1
CON-8107,OPP-4159,ACC-1218,2021-01-20,2022-07-14,18,81500,Net 60,2021-01-20,Active,0,,,1
CON-8108,OPP-4160,ACC-1107,2019-08-02,2020-07-27,12,54500,Monthly instalments,2019-08-02,Renewed,0,,,4
CON-8109,OPP-4161,ACC-1063,2017-06-28,2018-12-20,18,128500,50% upfront / 50% on delivery,2017-06-28,Expired,0,,,5
CON-8110,OPP-4164,ACC-1059,2020-09-01,2022-02-23,18,500000,Net 60,2020-09-01,Expired,0,,,5
CON-8111,OPP-4165,ACC-1152,2022-12-18,2023-12-13,12,133000,Net 60,2022-12-18,Renewed,0,,,5
CON-8112,OPP-4168,ACC-1201,2019-11-06,2020-10-31,12,448000,50% upfront / 50% on delivery,2019-11-06,Expired,0,,,0
CON-8113,OPP-4169,ACC-1202,2022-02-12,2023-08-06,18,50500,Net 30,2022-02-12,Cancelled,0,,,2
CON-8114,OPP-4170,ACC-1206,2018-04-12,2021-03-27,36,897500,Net 60,2018-04-12,Active,1,6.5,1167000.0,3
CON-8115,OPP-4171,ACC-1195,2015-02-26,2015-08-25,6,109500,Monthly instalments,2015-02-26,Expired,0,,,5
CON-8116,OPP-4172,ACC-1005,2024-01-09,2025-01-03,12,102000,Net 30,2024-01-09,Expired,0,,,1
CON-8117,OPP-4174,ACC-1153,2024-05-26,2025-11-17,18,307000,Upon signing,2024-05-26,Renewed,0,,,3
CON-8118,OPP-4176,ACC-1095,2021-04-20,2022-10-12,18,155000,Net 30,2021-04-20,Expired,0,,,1
CON-8119,OPP-4177,ACC-1166,2019-03-01,2020-02-24,12,83500,Monthly instalments,2019-03-01,Expired,0,,,3
CON-8120,OPP-4178,ACC-1065,2017-04-19,2020-04-03,36,147000,Upon signing,2017-04-19,Cancelled,1,11.3,191000.0,2
CON-8121,OPP-4179,ACC-1205,2019-07-31,2020-01-27,6,108000,Net 30,2019-07-31,Expired,0,,,1
CON-8122,OPP-4180,ACC-1030,2019-10-13,2022-09-27,36,548500,Net 60,2019-10-13,Renewed,1,5.3,713000.0,4
CON-8123,OPP-4182,ACC-1121,2022-01-19,2023-07-13,18,235000,Monthly instalments,2022-01-19,Expired,0,,,0
CON-8124,OPP-4184,ACC-1195,2019-03-14,2022-02-26,36,191500,50% upfront / 50% on delivery,2019-03-14,Active,0,,,3
CON-8125,OPP-4185,ACC-1098,2021-07-08,2022-01-04,6,175000,Net 60,2021-07-08,Active,0,,,1
CON-8126,OPP-4186,ACC-1006,2019-02-01,2019-07-31,6,70500,Upon signing,2019-02-01,Renewed,0,,,1
CON-8127,OPP-4187,ACC-1083,2021-01-12,2023-01-02,24,289000,Upon signing,2021-01-12,Expired,0,,,2
CON-8128,OPP-4190,ACC-1106,2017-11-01,2019-10-22,24,1200000,Net 30,2017-11-01,Expired,1,6.5,1560000.0,0
CON-8129,OPP-4191,ACC-1160,2022-06-18,2023-06-13,12,779500,Net 60,2022-06-18,Cancelled,1,12.2,1013000.0,1
CON-8130,OPP-4192,ACC-1129,2020-04-10,2020-10-07,6,111500,50% upfront / 50% on delivery,2020-04-10,Active,0,,,3
CON-8131,OPP-4193,ACC-1009,2018-12-22,2019-06-20,6,1200000,50% upfront / 50% on delivery,2018-12-22,Expired,1,10.4,1560000.0,0
CON-8132,OPP-4194,ACC-1035,2024-01-04,2025-06-27,18,151500,Upon signing,2024-01-04,Expired,0,,,1
CON-8133,OPP-4196,ACC-1153,2015-07-23,2017-07-12,24,217500,Net 30,2015-07-23,Expired,0,,,1
CON-8134,OPP-4197,ACC-1210,2022-04-26,2023-04-21,12,738500,Upon signing,2022-04-26,Renewed,1,11.0,960000.0,3
CON-8135,OPP-4198,ACC-1143,2023-02-24,2023-08-23,6,674500,Net 30,2023-02-24,Renewed,1,14.9,877000.0,1
CON-8136,OPP-4200,ACC-1182,2018-04-02,2020-03-22,24,399000,Net 30,2018-04-02,Renewed,0,,,0
CON-8137,OPP-4202,ACC-1158,2016-08-02,2017-01-29,6,160500,50% upfront / 50% on delivery,2016-08-02,Expired,0,,,1
CON-8138,OPP-4203,ACC-1081,2022-01-29,2024-01-19,24,112500,Upon signing,2022-01-29,Active,0,,,2
CON-8139,OPP-4204,ACC-1205,2022-08-15,2023-02-11,6,163000,Net 60,2022-08-15,Renewed,0,,,1
CON-8140,OPP-4205,ACC-1052,2016-11-01,2017-10-27,12,48500,Monthly instalments,2016-11-01,Expired,0,,,5
CON-8141,OPP-4206,ACC-1062,2017-06-19,2018-12-11,18,284500,Monthly instalments,2017-06-19,Expired,0,,,1
CON-8142,OPP-4207,ACC-1108,2022-08-25,2024-08-14,24,95000,Monthly instalments,2022-08-25,Renewed,0,,,5
CON-8143,OPP-4208,ACC-1137,2021-04-20,2021-10-17,6,374000,Monthly instalments,2021-04-20,Expired,1,7.6,486000.0,2
CON-8144,OPP-4209,ACC-1050,2024-03-02,2025-02-25,12,68000,Upon signing,2024-03-02,Renewed,0,,,4
CON-8145,OPP-4210,ACC-1018,2024-12-31,2025-06-29,6,172500,50% upfront / 50% on delivery,2024-12-31,Expired,0,,,3
CON-8146,OPP-4211,ACC-1178,2023-01-26,2025-01-15,24,186500,Net 60,2023-01-26,Cancelled,0,,,5
CON-8147,OPP-4212,ACC-1065,2023-02-10,2024-02-05,12,188500,Monthly instalments,2023-02-10,Expired,0,,,1
CON-8148,OPP-4213,ACC-1132,2024-05-05,2024-11-01,6,1200000,Upon signing,2024-05-05,Renewed,1,13.6,1560000.0,1
CON-8149,OPP-4214,ACC-1027,2023-07-17,2024-01-13,6,152000,Monthly instalments,2023-07-17,Expired,0,,,4
CON-8150,OPP-4215,ACC-1198,2021-10-23,2022-10-18,12,84000,Net 60,2021-10-23,Expired,0,,,0
CON-8151,OPP-4216,ACC-1145,2017-05-12,2018-11-03,18,748500,50% upfront / 50% on delivery,2017-05-12,Active,1,13.7,973000.0,3
CON-8152,OPP-4217,ACC-1021,2017-03-11,2018-09-02,18,280000,Upon signing,2017-03-11,Active,0,,,5
CON-8153,OPP-4218,ACC-1202,2016-10-01,2018-03-25,18,626000,Upon signing,2016-10-01,Expired,1,14.0,814000.0,5
CON-8154,OPP-4220,ACC-1006,2024-07-15,2026-07-05,24,208000,Upon signing,2024-07-15,Expired,0,,,5
CON-8155,OPP-4221,ACC-1004,2024-12-31,2027-12-16,36,210000,50% upfront / 50% on delivery,2024-12-31,Expired,0,,,0
CON-8156,OPP-4224,ACC-1083,2023-06-14,2025-06-03,24,412500,Net 30,2023-06-14,Active,0,,,0
CON-8157,OPP-4225,ACC-1147,2022-08-01,2025-07-16,36,302500,Net 60,2022-08-01,Renewed,0,,,2
CON-8158,OPP-4226,ACC-1022,2024-02-08,2025-02-02,12,164000,Net 60,2024-02-08,Active,0,,,5
CON-8159,OPP-4227,ACC-1216,2024-07-03,2026-06-23,24,167500,Upon signing,2024-07-03,Active,0,,,3
CON-8160,OPP-4228,ACC-1037,2023-09-30,2025-09-19,24,526500,Monthly instalments,2023-09-30,Expired,1,11.4,684000.0,4
CON-8161,OPP-4230,ACC-1208,2024-10-09,2026-04-02,18,500000,50% upfront / 50% on delivery,2024-10-09,Renewed,0,,,0
CON-8162,OPP-4232,ACC-1053,2023-06-17,2023-12-14,6,81000,Monthly instalments,2023-06-17,Renewed,0,,,4
CON-8163,OPP-4233,ACC-1014,2019-09-01,2021-08-21,24,60000,Monthly instalments,2019-09-01,Expired,0,,,5
CON-8164,OPP-4234,ACC-1062,2017-07-08,2020-06-22,36,204000,Upon signing,2017-07-08,Renewed,0,,,0
CON-8165,OPP-4235,ACC-1161,2019-04-06,2021-03-26,24,56500,Net 60,2019-04-06,Expired,0,,,0
CON-8166,OPP-4236,ACC-1070,2023-04-25,2025-04-14,24,783000,Net 60,2023-04-25,Expired,1,12.9,1018000.0,5
CON-8167,OPP-4238,ACC-1001,2023-04-23,2024-10-14,18,111500,Monthly instalments,2023-04-23,Active,0,,,2
CON-8168,OPP-4239,ACC-1139,2021-01-01,2021-06-30,6,245500,50% upfront / 50% on delivery,2021-01-01,Expired,0,,,2
CON-8169,OPP-4240,ACC-1125,2022-01-27,2025-01-11,36,350000,Net 30,2022-01-27,Expired,0,,,1
CON-8170,OPP-4241,ACC-1034,2022-07-04,2022-12-31,6,155000,Upon signing,2022-07-04,Expired,0,,,5
CON-8171,OPP-4242,ACC-1021,2023-01-08,2025-12-23,36,262000,Net 30,2023-01-08,Active,0,,,1
CON-8172,OPP-4243,ACC-1097,2024-05-13,2025-05-08,12,280000,Monthly instalments,2024-05-13,Expired,0,,,5
CON-8173,OPP-4244,ACC-1199,2017-12-22,2018-12-17,12,50000,Net 60,2017-12-22,Renewed,0,,,3
CON-8174,OPP-4246,ACC-1206,2021-04-21,2021-10-18,6,35000,Net 30,2021-04-21,Active,0,,,3
CON-8175,OPP-4248,ACC-1078,2024-07-27,2025-07-22,12,106000,Net 60,2024-07-27,Expired,0,,,5
CON-8176,OPP-4251,ACC-1057,2017-02-17,2018-02-12,12,752000,50% upfront / 50% on delivery,2017-02-17,Expired,1,8.8,978000.0,3
CON-8177,OPP-4253,ACC-1014,2015-10-03,2016-09-27,12,648500,50% upfront / 50% on delivery,2015-10-03,Expired,1,15.0,843000.0,2
CON-8178,OPP-4254,ACC-1050,2022-02-08,2023-08-02,18,85500,Net 60,2022-02-08,Renewed,0,,,0
CON-8179,OPP-4255,ACC-1109,2021-06-17,2023-06-07,24,99000,50% upfront / 50% on delivery,2021-06-17,Active,0,,,0
CON-8180,OPP-4256,ACC-1028,2019-05-28,2022-05-12,36,383000,Monthly instalments,2019-05-28,Expired,1,6.6,498000.0,0
CON-8181,OPP-4258,ACC-1039,2021-12-06,2023-05-30,18,275500,Net 60,2021-12-06,Cancelled,0,,,5
CON-8182,OPP-4259,ACC-1194,2018-05-03,2020-04-22,24,81000,Net 30,2018-05-03,Expired,0,,,5
CON-8183,OPP-4260,ACC-1180,2022-09-01,2024-08-21,24,221000,50% upfront / 50% on delivery,2022-09-01,Renewed,0,,,5
CON-8184,OPP-4261,ACC-1037,2015-06-19,2017-06-08,24,49000,Monthly instalments,2015-06-19,Expired,0,,,1
CON-8185,OPP-4262,ACC-1109,2019-06-25,2021-06-14,24,161000,Upon signing,2019-06-25,Expired,0,,,2
CON-8186,OPP-4263,ACC-1054,2021-02-14,2023-02-04,24,360000,Net 30,2021-02-14,Active,0,,,1
CON-8187,OPP-4264,ACC-1174,2019-11-21,2022-11-05,36,270000,50% upfront / 50% on delivery,2019-11-21,Active,0,,,3
CON-8188,OPP-4265,ACC-1033,2016-01-31,2019-01-15,36,175500,Net 30,2016-01-31,Renewed,0,,,1
CON-8189,OPP-4266,ACC-1077,2024-06-24,2024-12-21,6,428500,Net 30,2024-06-24,Active,0,,,4
CON-8190,OPP-4267,ACC-1111,2021-09-23,2023-03-17,18,27000,Upon signing,2021-09-23,Expired,0,,,2
CON-8191,OPP-4268,ACC-1189,2021-09-16,2023-03-10,18,60500,Net 60,2021-09-16,Active,0,,,2
CON-8192,OPP-4271,ACC-1000,2023-01-11,2023-07-10,6,91500,50% upfront / 50% on delivery,2023-01-11,Renewed,0,,,1
CON-8193,OPP-4273,ACC-1052,2018-07-04,2021-06-18,36,274500,50% upfront / 50% on delivery,2018-07-04,Active,0,,,5
CON-8194,OPP-4274,ACC-1126,2021-01-24,2021-07-23,6,455000,Monthly instalments,2021-01-24,Active,1,8.4,592000.0,5
CON-8195,OPP-4276,ACC-1195,2017-11-23,2020-11-07,36,35500,Upon signing,2017-11-23,Active,0,,,2
CON-8196,OPP-4277,ACC-1051,2021-11-09,2024-10-24,36,90000,Net 60,2021-11-09,Active,1,6.7,117000.0,5
CON-8197,OPP-4280,ACC-1109,2022-12-30,2023-12-25,12,285500,Upon signing,2022-12-30,Active,0,,,4
CON-8198,OPP-4281,ACC-1067,2024-01-10,2026-12-25,36,205000,50% upfront / 50% on delivery,2024-01-10,Expired,0,,,1
CON-8199,OPP-4282,ACC-1208,2016-10-06,2017-04-04,6,432000,Net 30,2016-10-06,Active,0,,,4
CON-8200,OPP-4283,ACC-1177,2022-10-24,2024-10-13,24,106500,Upon signing,2022-10-24,Active,0,,,0
CON-8201,OPP-4284,ACC-1021,2022-03-02,2025-02-14,36,623500,50% upfront / 50% on delivery,2022-03-02,Cancelled,1,15.0,811000.0,5
CON-8202,OPP-4285,ACC-1028,2024-09-03,2025-08-29,12,278500,Net 60,2024-09-03,Expired,0,,,2
CON-8203,OPP-4286,ACC-1030,2020-02-14,2021-02-08,12,56500,Net 60,2020-02-14,Active,0,,,1
CON-8204,OPP-4287,ACC-1062,2015-12-23,2016-06-20,6,342500,Upon signing,2015-12-23,Expired,0,,,1
CON-8205,OPP-4288,ACC-1073,2018-01-03,2019-06-27,18,151500,Monthly instalments,2018-01-03,Active,0,,,0
CON-8206,OPP-4289,ACC-1128,2022-08-27,2024-02-18,18,308000,Net 30,2022-08-27,Expired,1,14.8,400000.0,5
CON-8207,OPP-4290,ACC-1047,2023-08-07,2024-02-03,6,53500,Monthly instalments,2023-08-07,Expired,0,,,3
CON-8208,OPP-4291,ACC-1092,2015-05-26,2018-05-10,36,280000,Monthly instalments,2015-05-26,Renewed,0,,,1
CON-8209,OPP-4292,ACC-1061,2016-10-06,2017-10-01,12,500000,Upon signing,2016-10-06,Renewed,0,,,0
CON-8210,OPP-4293,ACC-1101,2018-12-12,2021-11-26,36,350000,Upon signing,2018-12-12,Expired,0,,,1
CON-8211,OPP-4294,ACC-1206,2016-01-06,2018-12-21,36,354000,Net 60,2016-01-06,Active,0,,,1
CON-8212,OPP-4296,ACC-1010,2019-02-10,2021-01-30,24,200000,Monthly instalments,2019-02-10,Active,0,,,1
