opportunity_id,opportunity_name,account_id,primary_contact_id,owner_user_id,division,region,deal_type,lead_source,stage,amount,discount_pct,probability_manual,created_date,expected_close_date,close_date_actual,is_won,lost_reason,is_renewal,fiscal_year,fiscal_quarter,is_open
OPP-4056,Archon Retail - PulseMedia - New Business - 2020,ACC-1177,CON-2239,USR-3041,PulseMedia,Asia Pacific,New Business,Outbound Cold Call,Closed Won,159500,20.7,41.0,2020-10-01,2020-11-30,2020-11-03,1.0,,0,2020,Q4,0
OPP-4057,Neon Cosmetics - TalentEdge - Cross-sell - 2015,ACC-1107,CON-2177,USR-3011,TalentEdge,India,Cross-sell,Outbound Cold Call,Closed Won,77000,16.9,53.0,2015-05-21,2015-07-03,2015-06-27,1.0,,0,2015,Q2,0
OPP-4058,Epsilon Retail - BrandVault - New Business - 2016,ACC-1069,CON-2140,USR-3074,BrandVault,India,New Business,Partner Referral,Closed Won,526000,8.7,45.0,2016-08-27,2016-10-22,2016-11-12,1.0,,0,2016,Q3,0
OPP-4059,Zero Fashion - BrandVault - Upsell - 2017,ACC-1026,CON-2101,USR-3069,BrandVault,Europe,Upsell,Existing Relationship,Closed Lost,152000,13.2,48.0,2017-04-07,2017-07-04,2017-08-13,0.0,Scope too complex,0,2017,Q2,0
OPP-4060,Beta Athletics - TalentEdge - Upsell - 2019,ACC-1004,CON-2502,USR-3016,TalentEdge,Europe,Upsell,Website Form,Closed Lost,73500,11.3,22.0,2019-10-05,2019-11-16,2019-12-10,0.0,Requirements changed,0,2019,Q4,0
OPP-4061,Ink Consumer - BrandVault - New Business - 2022,ACC-1032,CON-2086,USR-3066,BrandVault,Europe,New Business,Inbound Inquiry,Closed Won,249000,10.2,66.0,2022-05-07,2022-06-10,2022-06-28,1.0,,0,2022,Q2,0
OPP-4062,Quad Apparel - PulseMedia - Renewal - 2015,ACC-1050,CON-2066,USR-3041,PulseMedia,North America,Renewal,Referral,Closed Won,500000,14.7,38.0,2015-09-19,2015-11-10,2015-11-21,1.0,,1,2015,Q3,0
OPP-4063,Ultima Beauty - TalentEdge - New Business - 2024,ACC-1200,CON-2120,USR-3003,TalentEdge,North America,New Business,Website Form,Closed Won,280000,20.1,77.0,2024-04-07,2024-05-08,2024-05-06,1.0,,0,2024,Q2,0
OPP-4064,Onyx Entertainment - CreativeMotion - New Business - 2023,ACC-1218,CON-2232,USR-3035,CreativeMotion,Europe,New Business,Conference / Event,Closed Won,321000,8.4,78.0,2023-09-17,2023-10-08,2023-11-07,1.0,,0,2023,Q3,0
OPP-4065,Urban Gear Ltd - TalentEdge - Upsell - 2024,ACC-1001,CON-2374,USR-3003,TalentEdge,Australia,Upsell,Existing Relationship,Closed Lost,67500,11.6,45.0,2024-12-28,2025-02-09,2024-12-31,0.0,Chose competitor,0,2024,Q4,0
OPP-4066,Wraith Athletics - PulseMedia - New Business - 2017,ACC-1028,CON-2252,USR-3052,PulseMedia,Asia Pacific,New Business,Referral,Closed Won,182000,6.4,40.0,2017-02-05,2017-04-02,2017-03-05,1.0,,0,2017,Q1,0
OPP-4067,Quantum Consumer - TalentEdge - New Business - 2022,ACC-1116,CON-2130,USR-3009,TalentEdge,India,New Business,Referral,Closed Won,90500,12.8,74.0,2022-11-08,2023-01-21,2022-11-27,1.0,,0,2022,Q4,0
OPP-4068,Iota Media - PulseMedia - Renewal - 2024,ACC-1045,CON-2234,USR-3036,PulseMedia,India,Renewal,Outbound Cold Call,Closed Won,426000,12.1,44.0,2024-07-04,2024-08-03,2024-08-29,1.0,,1,2024,Q3,0
OPP-4069,Niche Cosmetics - PulseMedia - New Business - 2016,ACC-1189,CON-2346,USR-3044,PulseMedia,North America,New Business,Website Form,Closed Lost,239000,8.9,66.0,2016-12-11,2017-02-23,2017-02-16,0.0,No decision made,0,2016,Q4,0
OPP-4070,Epsilon Retail - PulseMedia - New Business - 2019,ACC-1069,CON-2025,USR-3054,PulseMedia,Australia,New Business,Referral,Closed Won,227000,16.7,35.0,2019-09-13,2019-11-30,2019-10-14,1.0,,0,2019,Q3,0
OPP-4071,Epsilon Retail - PulseMedia - Cross-sell - 2023,ACC-1007,,USR-3041,PulseMedia,Europe,Cross-sell,Outbound Cold Call,Closed Won,500000,4.5,38.0,2023-11-16,2024-01-16,2024-01-13,1.0,,0,2023,Q4,0
OPP-4072,Stellar Foods - PulseMedia - New Business - 2023,ACC-1169,CON-2394,USR-3059,PulseMedia,North America,New Business,Inbound Inquiry,Closed Won,251000,8.8,77.0,2023-04-22,2023-07-20,2023-06-03,1.0,,0,2023,Q2,0
OPP-4073,Ironclad Athletics - TalentEdge - New Business - 2020,ACC-1030,CON-2301,USR-3012,TalentEdge,Asia Pacific,New Business,Outbound Cold Call,Closed Won,83000,18.4,49.0,2020-11-15,2021-01-12,2020-12-12,1.0,,0,2020,Q4,0
OPP-4074,Muse Entertainment - TalentEdge - New Business - 2021,ACC-1124,CON-2093,USR-3003,TalentEdge,Asia Pacific,New Business,Inbound Inquiry,Closed Won,202500,14.0,43.0,2021-07-18,2021-10-06,2021-08-28,1.0,,0,2021,Q3,0
OPP-4075,Zinc Entertainment - PulseMedia - Renewal - 2023,ACC-1157,CON-2170,USR-3053,PulseMedia,Asia Pacific,Renewal,Inbound Inquiry,Closed Won,129000,9.1,66.0,2023-05-02,2023-07-07,2023-06-30,1.0,,1,2023,Q2,0
OPP-4076,Petal Fashion - PulseMedia - Renewal - 2019,ACC-1024,CON-2441,USR-3057,PulseMedia,Asia Pacific,Renewal,Website Form,Closed Won,209500,12.7,56.0,2019-06-12,2019-08-01,2019-07-23,1.0,,1,2019,Q2,0
OPP-4077,Oak Sports - BrandVault - New Business - 2019,ACC-1078,CON-2229,USR-3065,BrandVault,North America,New Business,Inbound Inquiry,Closed Lost,711000,10.8,62.0,2019-01-11,2019-03-25,2019-05-08,0.0,Scope too complex,0,2019,Q1,0
OPP-4078,Vega Consumer - PulseMedia - New Business - 2019,ACC-1096,CON-2244,USR-3054,PulseMedia,India,New Business,LinkedIn Outreach,Closed Won,348000,18.0,30.0,2019-02-16,2019-04-20,2019-04-07,1.0,,0,2019,Q1,0
OPP-4079,Amber Holdings - CreativeMotion - Upsell - 2022,ACC-1051,CON-2392,USR-3034,CreativeMotion,Asia Pacific,Upsell,Inbound Inquiry,Closed Won,226000,10.3,38.0,2022-12-03,2023-01-28,2023-01-12,1.0,,0,2022,Q4,0
OPP-4080,Unison Consumer - PulseMedia - New Business - 2023,ACC-1159,CON-2309,USR-3038,PulseMedia,Europe,New Business,Existing Relationship,Closed Won,224500,16.2,33.0,2023-08-19,2023-11-14,2023-11-08,1.0,,0,2023,Q3,0
OPP-4081,Zenith Financial - PulseMedia - New Business - 2020,ACC-1129,CON-2337,USR-3051,PulseMedia,India,New Business,Outbound Cold Call,Closed Won,116000,6.5,73.0,2020-08-07,2020-10-31,2020-10-07,1.0,,0,2020,Q3,0
OPP-4082,Lynx Retail - PulseMedia - Cross-sell - 2018,ACC-1047,CON-2516,USR-3059,PulseMedia,Australia,Cross-sell,Inbound Inquiry,Closed Won,308500,16.4,51.0,2018-12-24,2019-03-22,2019-01-29,1.0,,0,2018,Q4,0
OPP-4083,Ember Retail - CreativeMotion - New Business - 2023,ACC-1061,CON-2341,USR-3022,CreativeMotion,Europe,New Business,Website Form,Closed Lost,157000,8.6,59.0,2023-10-28,2024-01-08,2023-12-13,0.0,No decision made,0,2023,Q4,0
OPP-4084,Lance Athletics - TalentEdge - New Business - 2018,ACC-1060,CON-2330,USR-3012,TalentEdge,Australia,New Business,Inbound Inquiry,Closed Lost,72000,10.2,32.0,2018-03-01,2018-05-15,2018-04-17,0.0,Scope too complex,0,2018,Q1,0
OPP-4085,Opal Fashion - TalentEdge - Renewal - 2022,ACC-1066,CON-2006,USR-3008,TalentEdge,North America,Renewal,Referral,Closed Won,72000,13.6,39.0,2022-03-28,2022-04-19,2022-04-26,1.0,,1,2022,Q1,0
OPP-4086,Kite Athletics - CreativeMotion - Cross-sell - 2022,ACC-1104,CON-2278,USR-3029,CreativeMotion,North America,Cross-sell,Website Form,Closed Lost,113000,13.5,50.0,2022-11-13,2023-02-05,2022-12-16,0.0,Chose competitor,0,2022,Q4,0
OPP-4087,Meridian Sports - TalentEdge - Upsell - 2019,ACC-1031,CON-2246,USR-3010,TalentEdge,Australia,Upsell,Website Form,Closed Lost,76500,10.8,46.0,2019-08-13,2019-09-24,2019-10-12,0.0,Chose competitor,0,2019,Q3,0
OPP-4088,Lance Athletics - TalentEdge - Renewal - 2021,ACC-1014,,USR-3016,TalentEdge,Australia,Renewal,Website Form,Closed Won,197500,11.1,73.0,2021-10-04,2021-11-24,2021-10-28,1.0,,1,2021,Q4,0
OPP-4089,Carbon Fashion - BrandVault - New Business - 2023,ACC-1121,CON-2422,USR-3074,BrandVault,India,New Business,Existing Relationship,Closed Lost,506500,10.4,39.0,2023-01-20,2023-03-11,2023-05-02,0.0,Price too high,0,2023,Q1,0
OPP-4090,Xcel Cosmetics - BrandVault - New Business - 2021,ACC-1207,CON-2409,USR-3065,BrandVault,India,New Business,Conference / Event,Closed Lost,699000,25.8,38.0,2021-04-15,2021-06-12,2021-07-26,0.0,Timeline mismatch,0,2021,Q2,0
OPP-4091,Amber Holdings - BrandVault - Upsell - 2024,ACC-1112,CON-2321,USR-3073,BrandVault,Europe,Upsell,Existing Relationship,Lead,774500,9.8,76.0,2024-10-14,2025-01-04,,,,0,2024,Q4,1
OPP-4092,Fuse Athletics - CreativeMotion - New Business - 2023,ACC-1209,CON-2439,USR-3021,CreativeMotion,Asia Pacific,New Business,Partner Referral,Closed Won,151000,12.6,62.0,2023-10-17,2024-01-15,2023-11-28,1.0,,0,2023,Q4,0
OPP-4093,Iris Apparel - PulseMedia - New Business - 2023,ACC-1161,CON-2082,USR-3058,PulseMedia,Europe,New Business,Outbound Cold Call,Closed Won,286000,24.8,35.0,2023-03-13,2023-04-12,2023-06-03,1.0,,0,2023,Q1,0
OPP-4094,Apex2 Sports - PulseMedia - Upsell - 2023,ACC-1216,CON-2469,USR-3057,PulseMedia,Europe,Upsell,LinkedIn Outreach,Closed Won,134000,18.6,68.0,2023-05-16,2023-06-27,2023-08-06,1.0,,0,2023,Q2,0
OPP-4095,Xray Retail - TalentEdge - Upsell - 2020,ACC-1094,CON-2370,USR-3005,TalentEdge,Asia Pacific,Upsell,Referral,Closed Won,72500,7.9,78.0,2020-06-27,2020-07-19,2020-07-09,1.0,,0,2020,Q2,0
OPP-4096,Jetset Media - TalentEdge - New Business - 2022,ACC-1012,,USR-3012,TalentEdge,Europe,New Business,Inbound Inquiry,Closed Won,86000,8.2,63.0,2022-09-05,2022-10-10,2022-10-13,1.0,,0,2022,Q3,0
OPP-4097,Fuse Athletics - CreativeMotion - Cross-sell - 2017,ACC-1211,CON-2021,USR-3034,CreativeMotion,Asia Pacific,Cross-sell,Existing Relationship,Closed Lost,350000,19.3,71.0,2017-10-07,2017-12-14,2017-11-20,0.0,Deal went silent,0,2017,Q4,0
OPP-4098,Neon Cosmetics - PulseMedia - Renewal - 2020,ACC-1186,CON-2417,USR-3046,PulseMedia,India,Renewal,Partner Referral,Closed Lost,285000,6.2,25.0,2020-06-05,2020-07-26,2020-08-27,0.0,Deal went silent,1,2020,Q2,0
OPP-4099,Archon Retail - PulseMedia - New Business - 2022,ACC-1177,CON-2070,USR-3054,PulseMedia,India,New Business,LinkedIn Outreach,Closed Won,160000,5.1,76.0,2022-10-23,2022-11-19,2022-12-10,1.0,,0,2022,Q4,0
OPP-4100,Petal Fashion - PulseMedia - New Business - 2015,ACC-1155,CON-2118,USR-3037,PulseMedia,India,New Business,Inbound Inquiry,Closed Won,445500,5.4,55.0,2015-08-13,2015-10-19,2015-10-02,1.0,,0,2015,Q3,0
OPP-4101,Sand Consumer - TalentEdge - Upsell - 2024,ACC-1126,CON-2092,USR-3010,TalentEdge,Australia,Upsell,LinkedIn Outreach,Closed Won,121500,9.6,23.0,2024-03-11,2024-05-03,2024-04-03,1.0,,0,2024,Q1,0
OPP-4102,Quiver Retail - TalentEdge - Upsell - 2024,ACC-1191,CON-2146,USR-3011,TalentEdge,India,Upsell,Outbound Cold Call,Closed Won,108500,12.7,39.0,2024-05-09,2024-07-08,2024-06-20,1.0,,0,2024,Q2,0
OPP-4103,Zephyr Athletics - BrandVault - New Business - 2016,ACC-1142,CON-2267,USR-3077,BrandVault,Europe,New Business,Existing Relationship,Closed Won,260500,5.6,27.0,2016-03-08,2016-04-17,2016-05-18,1.0,,0,2016,Q1,0
OPP-4104,Cascade Beauty - BrandVault - New Business - 2019,ACC-1010,CON-2501,USR-3077,BrandVault,Asia Pacific,New Business,Website Form,Closed Lost,327000,26.1,31.0,2019-10-16,2019-11-16,2020-01-27,0.0,Requirements changed,0,2019,Q4,0
OPP-4105,Eta Fashion - TalentEdge - New Business - 2021,ACC-1210,CON-2027,USR-3008,TalentEdge,Australia,New Business,Conference / Event,Closed Lost,123000,33.6,66.0,2021-09-07,2021-11-19,2021-10-29,0.0,Budget cut / cancelled,0,2021,Q3,0
