activity_id,opportunity_id,user_id,activity_type,subject,activity_date,duration_minutes,outcome,is_outbound,days_since_deal_created
ACT-7069,OPP-4008,USR-3029,Phone Call,Phone Call re: Lambda Fashion - CreativeMotion - New Bu,2016-06-22,,Positive - Follow up scheduled,1,26
ACT-7070,OPP-4008,USR-3029,Phone Call,Phone Call re: Lambda Fashion - CreativeMotion - New Bu,2016-06-22,60.0,Neutral - Information shared,1,26
ACT-7071,OPP-4009,USR-3075,In-Person Meeting,In-Person Meeting re: Haven Consumer - BrandVault - New Busine,2022-06-11,,Positive - Follow up scheduled,0,2
ACT-7072,OPP-4009,USR-3075,Phone Call,Phone Call re: Haven Consumer - BrandVault - New Busine,2022-06-16,,Positive - Follow up scheduled,1,7
ACT-7073,OPP-4009,USR-3075,Email,Email re: Haven Consumer - BrandVault - New Busine,2022-06-28,,Negative - Client hesitant,1,19
ACT-7074,OPP-4009,USR-3075,Phone Call,Phone Call re: Haven Consumer - BrandVault - New Busine,2022-07-07,60.0,Positive - Moving to next stage,0,28
ACT-7075,OPP-4010,USR-3053,Video Meeting,Video Meeting re: Petal Fashion - PulseMedia - Upsell - 20,2024-07-22,45.0,Positive - Client interested,0,1
ACT-7076,OPP-4010,USR-3053,Phone Call,Phone Call re: Petal Fashion - PulseMedia - Upsell - 20,2024-07-31,90.0,Positive - Client interested,0,10
ACT-7077,OPP-4010,USR-3053,Demo,Demo re: Petal Fashion - PulseMedia - Upsell - 20,2024-08-11,60.0,Positive - Client interested,1,21
ACT-7078,OPP-4010,USR-3053,Video Meeting,Video Meeting re: Petal Fashion - PulseMedia - Upsell - 20,2024-08-13,90.0,Neutral - Information shared,0,23
ACT-7079,OPP-4010,USR-3053,In-Person Meeting,In-Person Meeting re: Petal Fashion - PulseMedia - Upsell - 20,2024-08-24,30.0,Positive - Follow up scheduled,1,34
ACT-7080,OPP-4010,USR-3053,Demo,Demo re: Petal Fashion - PulseMedia - Upsell - 20,2024-09-04,60.0,Positive - Client interested,1,45
ACT-7081,OPP-4011,USR-3024,Phone Call,Phone Call re: Petal Fashion - CreativeMotion - New Bus,2021-09-08,90.0,Positive - Follow up scheduled,0,2
ACT-7082,OPP-4011,USR-3024,In-Person Meeting,In-Person Meeting re: Petal Fashion - CreativeMotion - New Bus,2021-09-12,15.0,Positive - Client interested,1,6
ACT-7083,OPP-4011,USR-3024,Email,Email re: Petal Fashion - CreativeMotion - New Bus,2021-09-15,,Neutral - Information shared,1,9
ACT-7084,OPP-4011,USR-3024,Phone Call,Phone Call re: Petal Fashion - CreativeMotion - New Bus,2021-09-16,60.0,Neutral - Information shared,1,10
ACT-7085,OPP-4011,USR-3024,Email,Email re: Petal Fashion - CreativeMotion - New Bus,2021-09-25,,Positive - Client interested,1,19
ACT-7086,OPP-4011,USR-3024,Video Meeting,Video Meeting re: Petal Fashion - CreativeMotion - New Bus,2021-09-30,,Negative - Client hesitant,1,24
ACT-7087,OPP-4011,USR-3024,Video Meeting,Video Meeting re: Petal Fashion - CreativeMotion - New Bus,2021-10-09,,Positive - Moving to next stage,1,33
ACT-7088,OPP-4011,USR-3024,Video Meeting,Video Meeting re: Petal Fashion - CreativeMotion - New Bus,2021-10-13,90.0,Positive - Client interested,1,37
ACT-7089,OPP-4011,USR-3024,In-Person Meeting,In-Person Meeting re: Petal Fashion - CreativeMotion - New Bus,2021-10-18,,Positive - Client interested,0,42
ACT-7090,OPP-4011,USR-3024,Video Meeting,Video Meeting re: Petal Fashion - CreativeMotion - New Bus,2021-10-31,30.0,Positive - Follow up scheduled,1,55
ACT-7091,OPP-4011,USR-3024,Email,Email re: Petal Fashion - CreativeMotion - New Bus,2021-10-31,,Neutral - Information shared,1,55
ACT-7092,OPP-4012,USR-3048,Video Meeting,Video Meeting re: Sand Consumer - PulseMedia - New Busines,2023-04-04,60.0,Neutral - Information shared,1,2
ACT-7093,OPP-4012,USR-3048,Video Meeting,Video Meeting re: Sand Consumer - PulseMedia - New Busines,2023-04-15,45.0,Neutral - Information shared,1,13
ACT-7094,OPP-4012,USR-3048,Proposal Sent,Proposal Sent re: Sand Consumer - PulseMedia - New Busines,2023-04-19,90.0,Positive - Follow up scheduled,1,17
ACT-7095,OPP-4012,USR-3048,Video Meeting,Video Meeting re: Sand Consumer - PulseMedia - New Busines,2023-04-25,30.0,Positive - Client interested,1,23
ACT-7096,OPP-4012,USR-3048,Email,Email re: Sand Consumer - PulseMedia - New Busines,2023-04-26,,Positive - Client interested,1,24
ACT-7097,OPP-4012,USR-3048,Demo,Demo re: Sand Consumer - PulseMedia - New Busines,2023-04-28,30.0,Positive - Moving to next stage,1,26
ACT-7098,OPP-4012,USR-3048,Phone Call,Phone Call re: Sand Consumer - PulseMedia - New Busines,2023-05-07,90.0,Positive - Client interested,0,35
ACT-7099,OPP-4012,USR-3048,Video Meeting,Video Meeting re: Sand Consumer - PulseMedia - New Busines,2023-05-09,30.0,Positive - Follow up scheduled,1,37
ACT-7100,OPP-4012,USR-3048,Video Meeting,Video Meeting re: Sand Consumer - PulseMedia - New Busines,2023-05-13,,Positive - Client interested,1,41
ACT-7101,OPP-4012,USR-3048,Proposal Sent,Proposal Sent re: Sand Consumer - PulseMedia - New Busines,2023-05-16,15.0,Positive - Follow up scheduled,1,44
ACT-7102,OPP-4013,USR-3044,Phone Call,Phone Call re: Glacier Foods - PulseMedia - New Busines,2024-10-14,15.0,Positive - Client interested,0,5
ACT-7103,OPP-4013,USR-3044,Video Meeting,Video Meeting re: Glacier Foods - PulseMedia - New Busines,2024-10-15,90.0,Positive - Follow up scheduled,1,6
ACT-7104,OPP-4013,USR-3044,Phone Call,Phone Call re: Glacier Foods - PulseMedia - New Busines,2024-10-27,45.0,Neutral - Information shared,1,18
ACT-7105,OPP-4013,USR-3044,Video Meeting,Video Meeting re: Glacier Foods - PulseMedia - New Busines,2024-11-02,15.0,Positive - Moving to next stage,1,24
ACT-7106,OPP-4013,USR-3044,Proposal Sent,Proposal Sent re: Glacier Foods - PulseMedia - New Busines,2024-11-16,45.0,Positive - Follow up scheduled,0,38
ACT-7107,OPP-4013,USR-3044,Email,Email re: Glacier Foods - PulseMedia - New Busines,2024-11-18,,Positive - Follow up scheduled,0,40
ACT-7108,OPP-4013,USR-3044,In-Person Meeting,In-Person Meeting re: Glacier Foods - PulseMedia - New Busines,2024-11-19,15.0,Positive - Moving to next stage,0,41
ACT-7109,OPP-4013,USR-3044,In-Person Meeting,In-Person Meeting re: Glacier Foods - PulseMedia - New Busines,2024-11-27,45.0,Positive - Follow up scheduled,1,49
ACT-7110,OPP-4013,USR-3044,Phone Call,Phone Call re: Glacier Foods - PulseMedia - New Busines,2024-12-04,15.0,Positive - Follow up scheduled,1,56
ACT-7111,OPP-4013,USR-3044,Email,Email re: Glacier Foods - PulseMedia - New Busines,2024-12-11,,Positive - Follow up scheduled,1,63
ACT-7112,OPP-4013,USR-3044,Email,Email re: Glacier Foods - PulseMedia - New Busines,2024-12-11,,Positive - Moving to next stage,1,63
ACT-7113,OPP-4014,USR-3044,Email,Email re: Tau Media - PulseMedia - New Business - ,2023-05-12,,Positive - Follow up scheduled,1,10
ACT-7114,OPP-4014,USR-3044,Email,Email re: Tau Media - PulseMedia - New Business - ,2023-05-14,,Positive - Client interested,1,12
ACT-7115,OPP-4014,USR-3044,In-Person Meeting,In-Person Meeting re: Tau Media - PulseMedia - New Business - ,2023-05-16,45.0,Positive - Client interested,1,14
ACT-7116,OPP-4014,USR-3044,Phone Call,Phone Call re: Tau Media - PulseMedia - New Business - ,2023-05-26,30.0,Positive - Client interested,1,24
ACT-7117,OPP-4014,USR-3044,Email,Email re: Tau Media - PulseMedia - New Business - ,2023-06-07,,Positive - Moving to next stage,1,36
ACT-7118,OPP-4014,USR-3044,Phone Call,Phone Call re: Tau Media - PulseMedia - New Business - ,2023-06-10,30.0,Positive - Moving to next stage,0,39
ACT-7119,OPP-4015,USR-3012,Phone Call,Phone Call re: Raven Entertainment - TalentEdge - New B,2017-07-19,90.0,Positive - Client interested,1,14
ACT-7120,OPP-4015,USR-3012,Email,Email re: Raven Entertainment - TalentEdge - New B,2017-07-27,,Positive - Follow up scheduled,0,22
ACT-7121,OPP-4015,USR-3012,Phone Call,Phone Call re: Raven Entertainment - TalentEdge - New B,2017-07-27,45.0,Positive - Follow up scheduled,0,22
ACT-7122,OPP-4015,USR-3012,Video Meeting,Video Meeting re: Raven Entertainment - TalentEdge - New B,2017-07-27,15.0,Negative - Client hesitant,1,22
ACT-7123,OPP-4015,USR-3012,Video Meeting,Video Meeting re: Raven Entertainment - TalentEdge - New B,2017-07-27,30.0,Positive - Moving to next stage,1,22
ACT-7124,OPP-4015,USR-3012,Email,Email re: Raven Entertainment - TalentEdge - New B,2017-07-27,,Positive - Follow up scheduled,1,22
ACT-7125,OPP-4015,USR-3012,Video Meeting,Video Meeting re: Raven Entertainment - TalentEdge - New B,2017-07-27,90.0,Positive - Moving to next stage,1,22
ACT-7126,OPP-4015,USR-3012,Email,Email re: Raven Entertainment - TalentEdge - New B,2017-07-27,,Positive - Follow up scheduled,1,22
ACT-7127,OPP-4016,USR-3008,Proposal Sent,Proposal Sent re: Neon Cosmetics - TalentEdge - Renewal - ,2023-01-24,60.0,Positive - Client interested,1,8
ACT-7128,OPP-4016,USR-3008,Proposal Sent,Proposal Sent re: Neon Cosmetics - TalentEdge - Renewal - ,2023-01-31,60.0,Positive - Moving to next stage,0,15
ACT-7129,OPP-4016,USR-3008,Email,Email re: Neon Cosmetics - TalentEdge - Renewal - ,2023-02-08,,Negative - Client hesitant,0,23
ACT-7130,OPP-4016,USR-3008,Proposal Sent,Proposal Sent re: Neon Cosmetics - TalentEdge - Renewal - ,2023-02-10,45.0,Positive - Follow up scheduled,0,25
ACT-7131,OPP-4016,USR-3008,Email,Email re: Neon Cosmetics - TalentEdge - Renewal - ,2023-02-14,,Positive - Follow up scheduled,0,29
ACT-7132,OPP-4016,USR-3008,Email,Email re: Neon Cosmetics - TalentEdge - Renewal - ,2023-02-20,,Positive - Follow up scheduled,1,35
ACT-7133,OPP-4017,USR-3018,Phone Call,Phone Call re: Oasis Sports - CreativeMotion - New Busi,2021-12-18,60.0,Neutral - Information shared,1,2
ACT-7134,OPP-4017,USR-3018,Proposal Sent,Proposal Sent re: Oasis Sports - CreativeMotion - New Busi,2021-12-26,,Negative - Client hesitant,1,10
ACT-7135,OPP-4017,USR-3018,Demo,Demo re: Oasis Sports - CreativeMotion - New Busi,2021-12-28,60.0,Positive - Client interested,1,12
ACT-7136,OPP-4017,USR-3018,Phone Call,Phone Call re: Oasis Sports - CreativeMotion - New Busi,2022-01-06,45.0,Positive - Client interested,1,21
ACT-7137,OPP-4017,USR-3018,Video Meeting,Video Meeting re: Oasis Sports - CreativeMotion - New Busi,2022-01-07,45.0,Positive - Moving to next stage,1,22
ACT-7138,OPP-4017,USR-3018,Demo,Demo re: Oasis Sports - CreativeMotion - New Busi,2022-01-12,30.0,Positive - Client interested,1,27
ACT-7139,OPP-4017,USR-3018,Video Meeting,Video Meeting re: Oasis Sports - CreativeMotion - New Busi,2022-01-19,30.0,Positive - Follow up scheduled,1,34
ACT-7140,OPP-4017,USR-3018,Email,Email re: Oasis Sports - CreativeMotion - New Busi,2022-02-01,,Negative - Client hesitant,1,47
ACT-7141,OPP-4017,USR-3018,Phone Call,Phone Call re: Oasis Sports - CreativeMotion - New Busi,2022-02-13,,Positive - Client interested,1,59
ACT-7142,OPP-4017,USR-3018,Email,Email re: Oasis Sports - CreativeMotion - New Busi,2022-02-15,,Positive - Moving to next stage,0,61
ACT-7143,OPP-4018,USR-3074,Proposal Sent,Proposal Sent re: Meridian Sports - BrandVault - New Busin,2019-05-07,45.0,,0,5
ACT-7144,OPP-4018,USR-3074,Video Meeting,Video Meeting re: Meridian Sports - BrandVault - New Busin,2019-05-17,90.0,Neutral - Information shared,1,15
ACT-7145,OPP-4018,USR-3074,Phone Call,Phone Call re: Meridian Sports - BrandVault - New Busin,2019-05-28,30.0,Neutral - Information shared,1,26
ACT-7146,OPP-4018,USR-3074,Video Meeting,Video Meeting re: Meridian Sports - BrandVault - New Busin,2019-06-11,15.0,,1,40
ACT-7147,OPP-4018,USR-3074,Email,Email re: Meridian Sports - BrandVault - New Busin,2019-06-12,,Positive - Follow up scheduled,1,41
ACT-7148,OPP-4018,USR-3074,Video Meeting,Video Meeting re: Meridian Sports - BrandVault - New Busin,2019-06-25,60.0,Positive - Client interested,1,54
ACT-7149,OPP-4018,USR-3074,Phone Call,Phone Call re: Meridian Sports - BrandVault - New Busin,2019-07-04,90.0,Negative - Client hesitant,0,63
ACT-7150,OPP-4018,USR-3074,Video Meeting,Video Meeting re: Meridian Sports - BrandVault - New Busin,2019-07-13,90.0,Neutral - Information shared,0,72
ACT-7151,OPP-4019,USR-3019,Email,Email re: Iota Media - CreativeMotion - New Busine,2024-09-20,,Negative - Client hesitant,0,10
ACT-7152,OPP-4019,USR-3019,In-Person Meeting,In-Person Meeting re: Iota Media - CreativeMotion - New Busine,2024-09-23,90.0,Neutral - Information shared,0,13
ACT-7153,OPP-4019,USR-3019,Video Meeting,Video Meeting re: Iota Media - CreativeMotion - New Busine,2024-09-24,15.0,Positive - Moving to next stage,0,14
ACT-7154,OPP-4020,USR-3016,Email,Email re: Ember Retail - TalentEdge - New Business,2020-11-27,,,1,6
ACT-7155,OPP-4020,USR-3016,Phone Call,Phone Call re: Ember Retail - TalentEdge - New Business,2020-12-09,60.0,Positive - Follow up scheduled,0,18
ACT-7156,OPP-4020,USR-3016,Email,Email re: Ember Retail - TalentEdge - New Business,2020-12-20,,Neutral - Information shared,1,29
ACT-7157,OPP-4020,USR-3016,Demo,Demo re: Ember Retail - TalentEdge - New Business,2020-12-20,45.0,Positive - Client interested,0,29
ACT-7158,OPP-4020,USR-3016,Phone Call,Phone Call re: Ember Retail - TalentEdge - New Business,2020-12-20,90.0,Neutral - Information shared,1,29
ACT-7159,OPP-4020,USR-3016,Email,Email re: Ember Retail - TalentEdge - New Business,2020-12-20,,Neutral - Information shared,1,29
ACT-7160,OPP-4020,USR-3016,Video Meeting,Video Meeting re: Ember Retail - TalentEdge - New Business,2020-12-20,30.0,,0,29
ACT-7161,OPP-4020,USR-3016,Proposal Sent,Proposal Sent re: Ember Retail - TalentEdge - New Business,2020-12-20,15.0,Neutral - Information shared,0,29
ACT-7162,OPP-4020,USR-3016,Proposal Sent,Proposal Sent re: Ember Retail - TalentEdge - New Business,2020-12-20,90.0,Positive - Client interested,0,29
ACT-7163,OPP-4020,USR-3016,Video Meeting,Video Meeting re: Ember Retail - TalentEdge - New Business,2020-12-20,15.0,Positive - Follow up scheduled,1,29
ACT-7164,OPP-4020,USR-3016,Email,Email re: Ember Retail - TalentEdge - New Business,2020-12-20,,Positive - Follow up scheduled,0,29
ACT-7165,OPP-4021,USR-3021,Email,Email re: Neon Cosmetics - CreativeMotion - New Bu,2018-09-23,,Positive - Client interested,0,6
ACT-7166,OPP-4021,USR-3021,Phone Call,Phone Call re: Neon Cosmetics - CreativeMotion - New Bu,2018-09-28,45.0,Neutral - Information shared,0,11
ACT-7167,OPP-4021,USR-3021,Email,Email re: Neon Cosmetics - CreativeMotion - New Bu,2018-10-04,,Positive - Follow up scheduled,1,17
ACT-7168,OPP-4021,USR-3021,Proposal Sent,Proposal Sent re: Neon Cosmetics - CreativeMotion - New Bu,2018-10-12,,Positive - Follow up scheduled,1,25
ACT-7169,OPP-4021,USR-3021,Email,Email re: Neon Cosmetics - CreativeMotion - New Bu,2018-10-20,,Positive - Follow up scheduled,1,33
ACT-7170,OPP-4021,USR-3021,Email,Email re: Neon Cosmetics - CreativeMotion - New Bu,2018-10-21,,Neutral - Information shared,1,34
ACT-7171,OPP-4021,USR-3021,Video Meeting,Video Meeting re: Neon Cosmetics - CreativeMotion - New Bu,2018-11-02,15.0,Positive - Follow up scheduled,1,46
ACT-7172,OPP-4022,USR-3004,Demo,Demo re: Kite Athletics - TalentEdge - New Busine,2021-01-24,30.0,Positive - Client interested,1,4
ACT-7173,OPP-4022,USR-3004,Email,Email re: Kite Athletics - TalentEdge - New Busine,2021-01-25,,Positive - Follow up scheduled,0,5
ACT-7174,OPP-4022,USR-3004,Demo,Demo re: Kite Athletics - TalentEdge - New Busine,2021-02-07,45.0,Positive - Moving to next stage,1,18
ACT-7175,OPP-4022,USR-3004,Email,Email re: Kite Athletics - TalentEdge - New Busine,2021-02-21,,Positive - Client interested,0,32
ACT-7176,OPP-4022,USR-3004,Phone Call,Phone Call re: Kite Athletics - TalentEdge - New Busine,2021-03-06,60.0,Negative - Client hesitant,0,45
ACT-7177,OPP-4022,USR-3004,Phone Call,Phone Call re: Kite Athletics - TalentEdge - New Busine,2021-03-13,60.0,Positive - Follow up scheduled,0,52
