line_item_id,opportunity_id,product_id,line_item_name,line_item_type,unit_type,unit_price,quantity,gross_amount,discount_applied_pct,net_amount,is_negotiated,created_date
LI-5055,OPP-4013,PRD-9023,Analytics & Reporting,Analytics & Reporting,per month,2811.94,3,8435.82,23.1,6487.15,1,2024-10-09
LI-5056,OPP-4013,PRD-9017,Digital Marketing - Hourly,Digital Marketing,per hour,102.56,104,10666.24,23.7,8138.34,1,2024-10-09
LI-5057,OPP-4013,PRD-9022,Content Creation Package,Content Creation Package,flat fee,20311.49,1,20311.49,24.2,15396.11,1,2024-10-09
LI-5058,OPP-4014,PRD-9023,Analytics & Reporting,Analytics & Reporting,per month,3735.97,6,22415.82,10.4,20084.57,1,2023-05-02
LI-5059,OPP-4014,PRD-9016,Campaign Strategy Fee,Campaign Strategy Fee,flat fee,26496.05,1,26496.05,12.2,23263.53,1,2023-05-02
LI-5060,OPP-4014,PRD-9018,Social Media Management,Social Media Management,per month,4642.21,6,27853.26,0.4,27741.85,0,2023-05-02
LI-5061,OPP-4014,PRD-9022,Content Creation Package,Content Creation Package,flat fee,13085.81,1,13085.81,3.6,12614.72,0,2023-05-02
LI-5062,OPP-4014,PRD-9017,Digital Marketing - Hourly,Digital Marketing,per hour,128.7,53,6821.1,0.1,6814.28,0,2023-05-02
LI-5063,OPP-4014,PRD-9019,Media Planning & Buying,Media Planning & Buying,flat fee,31328.09,1,31328.09,1.3,30920.82,0,2023-05-02
LI-5064,OPP-4015,PRD-9006,Usage Rights - Digital,Usage Rights,flat fee,10849.32,1,10849.32,14.0,9330.42,1,2017-07-05
LI-5065,OPP-4015,PRD-9002,Stylist - Day Rate,Stylist,per day,1846.27,9,16616.43,15.8,13991.03,1,2017-07-05
LI-5066,OPP-4015,PRD-9001,Photographer - Day Rate,Photographer,per day,3681.0,10,36810.0,7.3,34122.87,1,2017-07-05
LI-5067,OPP-4015,PRD-9003,Makeup Artist - Day Rate,Makeup Artist,per day,2436.39,5,12181.95,14.3,10439.93,1,2017-07-05
LI-5068,OPP-4015,PRD-9008,Production - Location Rental,Production,flat fee,2160.76,1,2160.76,3.4,2087.29,0,2017-07-05
LI-5069,OPP-4015,PRD-9004,Creative Director - Day Rate,Creative Director,per day,4940.78,2,9881.56,13.0,8596.96,1,2017-07-05
LI-5070,OPP-4016,PRD-9008,Production - Location Rental,Production,flat fee,8597.81,1,8597.81,29.7,6044.26,1,2023-01-16
LI-5071,OPP-4016,PRD-9005,Usage Rights - Print,Usage Rights,flat fee,78741.83,1,78741.83,22.3,61182.4,1,2023-01-16
LI-5072,OPP-4016,PRD-9007,Usage Rights - Global,Usage Rights,flat fee,104660.35,1,104660.35,0.8,103823.07,0,2023-01-16
LI-5073,OPP-4017,PRD-9010,Director - Day Rate,Director,per day,9139.53,1,9139.53,3.6,8810.51,0,2021-12-16
LI-5074,OPP-4017,PRD-9011,Designer - Day Rate,Designer,per day,5709.86,2,11419.72,6.9,10631.76,1,2021-12-16
LI-5075,OPP-4017,PRD-9009,Scriptwriter - Project,Scriptwriter,flat fee,31542.38,1,31542.38,3.3,30501.48,0,2021-12-16
LI-5076,OPP-4017,PRD-9013,Post-Production Fee,Post-Production Fee,flat fee,42660.24,1,42660.24,3.5,41167.13,0,2021-12-16
LI-5077,OPP-4017,PRD-9015,Photography Package,Photography Package,flat fee,12385.01,1,12385.01,11.4,10973.12,1,2021-12-16
LI-5078,OPP-4017,PRD-9014,Video Production Package,Video Production Package,flat fee,79353.1,1,79353.1,12.5,69433.96,1,2021-12-16
LI-5079,OPP-4018,PRD-9024,Brand License - Minimum Guarantee,Brand License,flat fee,246438.41,1,246438.41,13.2,213908.54,1,2019-05-02
LI-5080,OPP-4018,PRD-9030,License Renewal Fee,License Renewal Fee,flat fee,44699.66,1,44699.66,27.9,32228.45,1,2019-05-02
LI-5081,OPP-4018,PRD-9027,Character License - MG,Character License,flat fee,199362.59,1,199362.59,12.0,175439.08,1,2019-05-02
LI-5082,OPP-4018,PRD-9025,Royalty Agreement Setup,Royalty Agreement Setup,flat fee,10499.34,1,10499.34,7.1,9753.89,1,2019-05-02
LI-5083,OPP-4019,PRD-9011,Designer - Day Rate,Designer,per day,8917.36,7,62421.52,13.0,54306.72,1,2024-09-10
LI-5084,OPP-4019,PRD-9015,Photography Package,Photography Package,flat fee,50061.72,1,50061.72,10.8,44655.05,1,2024-09-10
LI-5085,OPP-4019,PRD-9013,Post-Production Fee,Post-Production Fee,flat fee,33821.31,1,33821.31,5.5,31961.14,1,2024-09-10
LI-5086,OPP-4019,PRD-9012,Content Writer - Day Rate,Content Writer,per day,5847.74,2,11695.48,6.7,10911.88,1,2024-09-10
LI-5087,OPP-4020,PRD-9005,Usage Rights - Print,Usage Rights,flat fee,6069.2,1,6069.2,6.6,5668.63,1,2020-11-21
LI-5088,OPP-4020,PRD-9002,Stylist - Day Rate,Stylist,per day,4962.24,7,34735.68,12.4,30428.46,1,2020-11-21
LI-5089,OPP-4020,PRD-9004,Creative Director - Day Rate,Creative Director,per day,7371.56,2,14743.12,16.8,12266.28,1,2020-11-21
LI-5090,OPP-4020,PRD-9000,Model - Day Rate,Model,per day,5319.41,8,42555.28,15.0,36171.99,1,2020-11-21
LI-5091,OPP-4020,PRD-9008,Production - Location Rental,Production,flat fee,5396.66,1,5396.66,6.8,5029.69,1,2020-11-21
LI-5092,OPP-4021,PRD-9010,Director - Day Rate,Director,per day,5674.75,7,39723.25,2.3,38809.62,0,2018-09-17
LI-5093,OPP-4021,PRD-9011,Designer - Day Rate,Designer,per day,2978.29,9,26804.61,3.9,25759.23,0,2018-09-17
LI-5094,OPP-4021,PRD-9009,Scriptwriter - Project,Scriptwriter,flat fee,25972.12,1,25972.12,10.2,23322.96,1,2018-09-17
LI-5095,OPP-4022,PRD-9007,Usage Rights - Global,Usage Rights,flat fee,9813.48,1,9813.48,14.8,8361.08,1,2021-01-20
LI-5096,OPP-4022,PRD-9001,Photographer - Day Rate,Photographer,per day,1623.13,8,12985.04,7.9,11959.22,1,2021-01-20
LI-5097,OPP-4022,PRD-9005,Usage Rights - Print,Usage Rights,flat fee,12850.51,1,12850.51,9.4,11642.56,1,2021-01-20
LI-5098,OPP-4022,PRD-9006,Usage Rights - Digital,Usage Rights,flat fee,7828.24,1,7828.24,1.7,7695.16,0,2021-01-20
LI-5099,OPP-4022,PRD-9000,Model - Day Rate,Model,per day,3208.93,2,6417.86,17.2,5313.99,1,2021-01-20
LI-5100,OPP-4022,PRD-9004,Creative Director - Day Rate,Creative Director,per day,3610.49,10,36104.9,1.0,35743.85,0,2021-01-20
LI-5101,OPP-4023,PRD-9004,Creative Director - Day Rate,Creative Director,per day,4202.02,5,21010.1,11.8,18530.91,1,2016-09-20
LI-5102,OPP-4023,PRD-9008,Production - Location Rental,Production,flat fee,11689.63,1,11689.63,12.0,10286.87,1,2016-09-20
LI-5103,OPP-4023,PRD-9000,Model - Day Rate,Model,per day,7596.07,4,30384.28,13.6,26252.02,1,2016-09-20
LI-5104,OPP-4023,PRD-9005,Usage Rights - Print,Usage Rights,flat fee,14416.01,1,14416.01,13.6,12455.43,1,2016-09-20
LI-5105,OPP-4024,PRD-9029,Territory Rights Fee,Territory Rights Fee,flat fee,534698.06,1,534698.06,13.9,460375.03,1,2022-05-04
LI-5106,OPP-4024,PRD-9025,Royalty Agreement Setup,Royalty Agreement Setup,flat fee,76801.94,1,76801.94,16.6,64052.82,1,2022-05-04
LI-5107,OPP-4025,PRD-9021,Event Marketing,Event Marketing,flat fee,5390.01,1,5390.01,5.0,5120.51,0,2023-01-16
LI-5108,OPP-4025,PRD-9022,Content Creation Package,Content Creation Package,flat fee,10468.2,1,10468.2,8.2,9609.81,1,2023-01-16
LI-5109,OPP-4025,PRD-9019,Media Planning & Buying,Media Planning & Buying,flat fee,17261.1,1,17261.1,12.9,15034.42,1,2023-01-16
LI-5110,OPP-4025,PRD-9023,Analytics & Reporting,Analytics & Reporting,per month,2205.18,4,8820.72,10.6,7885.72,1,2023-01-16
LI-5111,OPP-4025,PRD-9016,Campaign Strategy Fee,Campaign Strategy Fee,flat fee,15704.82,1,15704.82,0.9,15563.48,0,2023-01-16
LI-5112,OPP-4025,PRD-9018,Social Media Management,Social Media Management,per month,4780.88,4,19123.52,7.6,17670.13,1,2023-01-16
LI-5113,OPP-4025,PRD-9020,Branding & Identity,Branding & Identity,flat fee,12926.18,1,12926.18,14.4,11064.81,1,2023-01-16
LI-5114,OPP-4025,PRD-9017,Digital Marketing - Hourly,Digital Marketing,per hour,36.61,22,805.42,6.8,750.65,1,2023-01-16
LI-5115,OPP-4026,PRD-9020,Branding & Identity,Branding & Identity,flat fee,114988.74,1,114988.74,16.0,96590.54,1,2018-09-17
LI-5116,OPP-4026,PRD-9016,Campaign Strategy Fee,Campaign Strategy Fee,flat fee,13107.12,1,13107.12,2.7,12753.23,0,2018-09-17
LI-5117,OPP-4026,PRD-9021,Event Marketing,Event Marketing,flat fee,64404.14,1,64404.14,21.8,50364.04,1,2018-09-17
LI-5118,OPP-4027,PRD-9017,Digital Marketing - Hourly,Digital Marketing,per hour,439.38,42,18453.96,16.8,15353.69,1,2019-01-08
LI-5119,OPP-4027,PRD-9018,Social Media Management,Social Media Management,per month,41669.7,4,166678.8,17.4,137676.69,1,2019-01-08
LI-5120,OPP-4027,PRD-9019,Media Planning & Buying,Media Planning & Buying,flat fee,62367.24,1,62367.24,14.9,53074.52,1,2019-01-08
LI-5121,OPP-4028,PRD-9016,Campaign Strategy Fee,Campaign Strategy Fee,flat fee,53588.06,1,53588.06,53.8,24757.68,1,2018-11-22
LI-5122,OPP-4028,PRD-9022,Content Creation Package,Content Creation Package,flat fee,43613.49,1,43613.49,30.2,30442.22,1,2018-11-22
LI-5123,OPP-4028,PRD-9020,Branding & Identity,Branding & Identity,flat fee,35891.62,1,35891.62,59.2,14643.78,1,2018-11-22
LI-5124,OPP-4028,PRD-9019,Media Planning & Buying,Media Planning & Buying,flat fee,86906.84,1,86906.84,50.1,43366.51,1,2018-11-22
LI-5125,OPP-4029,PRD-9013,Post-Production Fee,Post-Production Fee,flat fee,28081.63,1,28081.63,5.6,26509.06,1,2015-10-18
LI-5126,OPP-4029,PRD-9014,Video Production Package,Video Production Package,flat fee,37771.79,1,37771.79,1.2,37318.53,0,2015-10-18
LI-5127,OPP-4029,PRD-9011,Designer - Day Rate,Designer,per day,4150.19,9,37351.71,1.5,36791.43,0,2015-10-18
LI-5128,OPP-4029,PRD-9010,Director - Day Rate,Director,per day,2533.75,8,20270.0,2.4,19783.52,0,2015-10-18
LI-5129,OPP-4029,PRD-9009,Scriptwriter - Project,Scriptwriter,flat fee,4852.87,1,4852.87,3.4,4687.87,0,2015-10-18
LI-5130,OPP-4029,PRD-9012,Content Writer - Day Rate,Content Writer,per day,2334.0,8,18672.0,1.0,18485.28,0,2015-10-18
LI-5131,OPP-4030,PRD-9015,Photography Package,Photography Package,flat fee,166285.8,1,166285.8,6.3,155809.79,1,2018-02-08
LI-5132,OPP-4030,PRD-9014,Video Production Package,Video Production Package,flat fee,74714.2,1,74714.2,1.9,73294.63,0,2018-02-08
LI-5133,OPP-4031,PRD-9022,Content Creation Package,Content Creation Package,flat fee,18327.83,1,18327.83,22.2,14259.05,1,2018-09-06
LI-5134,OPP-4031,PRD-9019,Media Planning & Buying,Media Planning & Buying,flat fee,120776.32,1,120776.32,1.1,119447.78,0,2018-09-06
LI-5135,OPP-4031,PRD-9020,Branding & Identity,Branding & Identity,flat fee,98717.77,1,98717.77,29.1,69990.9,1,2018-09-06
LI-5136,OPP-4031,PRD-9021,Event Marketing,Event Marketing,flat fee,63678.08,1,63678.08,19.4,51324.53,1,2018-09-06
LI-5137,OPP-4032,PRD-9003,Makeup Artist - Day Rate,Makeup Artist,per day,1988.99,7,13922.93,0.2,13895.08,0,2017-11-15
LI-5138,OPP-4032,PRD-9008,Production - Location Rental,Production,flat fee,6546.94,1,6546.94,9.5,5924.98,1,2017-11-15
LI-5139,OPP-4032,PRD-9006,Usage Rights - Digital,Usage Rights,flat fee,11662.19,1,11662.19,10.4,10449.32,1,2017-11-15
LI-5140,OPP-4032,PRD-9004,Creative Director - Day Rate,Creative Director,per day,3149.71,9,28347.39,0.1,28319.04,0,2017-11-15
LI-5141,OPP-4032,PRD-9002,Stylist - Day Rate,Stylist,per day,3758.79,2,7517.58,10.6,6720.72,1,2017-11-15
LI-5142,OPP-4032,PRD-9007,Usage Rights - Global,Usage Rights,flat fee,44493.15,1,44493.15,8.3,40800.22,1,2017-11-15
LI-5143,OPP-4032,PRD-9000,Model - Day Rate,Model,per day,13009.76,1,13009.76,13.7,11227.42,1,2017-11-15
LI-5144,OPP-4033,PRD-9024,Brand License - Minimum Guarantee,Brand License,flat fee,133384.74,1,133384.74,21.0,105373.94,1,2023-05-24
LI-5145,OPP-4033,PRD-9025,Royalty Agreement Setup,Royalty Agreement Setup,flat fee,4815.09,1,4815.09,16.1,4039.86,1,2023-05-24
LI-5146,OPP-4033,PRD-9027,Character License - MG,Character License,flat fee,104823.36,1,104823.36,9.9,94445.85,1,2023-05-24
LI-5147,OPP-4033,PRD-9030,License Renewal Fee,License Renewal Fee,flat fee,27476.82,1,27476.82,18.4,22421.09,1,2023-05-24
LI-5148,OPP-4034,PRD-9025,Royalty Agreement Setup,Royalty Agreement Setup,flat fee,8410.75,1,8410.75,0.5,8368.7,0,2024-10-17
LI-5149,OPP-4034,PRD-9024,Brand License - Minimum Guarantee,Brand License,flat fee,311589.25,1,311589.25,14.7,265785.63,1,2024-10-17
LI-5150,OPP-4035,PRD-9019,Media Planning & Buying,Media Planning & Buying,flat fee,61348.24,1,61348.24,12.0,53986.45,1,2024-03-10
LI-5151,OPP-4035,PRD-9018,Social Media Management,Social Media Management,per month,6811.39,6,40868.34,29.5,28812.18,1,2024-03-10
LI-5152,OPP-4035,PRD-9020,Branding & Identity,Branding & Identity,flat fee,36466.77,1,36466.77,27.7,26365.47,1,2024-03-10
LI-5153,OPP-4035,PRD-9022,Content Creation Package,Content Creation Package,flat fee,27967.78,1,27967.78,23.3,21451.29,1,2024-03-10
LI-5154,OPP-4035,PRD-9017,Digital Marketing - Hourly,Digital Marketing,per hour,159.69,120,19162.8,9.3,17380.66,1,2024-03-10
LI-5155,OPP-4035,PRD-9021,Event Marketing,Event Marketing,flat fee,42397.85,1,42397.85,11.8,37394.9,1,2024-03-10
LI-5156,OPP-4035,PRD-9023,Analytics & Reporting,Analytics & Reporting,per month,7393.98,2,14787.96,11.0,13161.28,1,2024-03-10
LI-5157,OPP-4036,PRD-9022,Content Creation Package,Content Creation Package,flat fee,47588.18,1,47588.18,2.7,46303.3,0,2017-11-21
LI-5158,OPP-4036,PRD-9019,Media Planning & Buying,Media Planning & Buying,flat fee,46940.48,1,46940.48,26.5,34501.25,1,2017-11-21
LI-5159,OPP-4036,PRD-9023,Analytics & Reporting,Analytics & Reporting,per month,21431.37,5,107156.85,7.2,99441.56,1,2017-11-21
LI-5160,OPP-4036,PRD-9018,Social Media Management,Social Media Management,per month,23157.25,2,46314.5,12.7,40432.56,1,2017-11-21
LI-5161,OPP-4037,PRD-9016,Campaign Strategy Fee,Campaign Strategy Fee,flat fee,110570.29,1,110570.29,12.7,96527.86,1,2023-02-11
LI-5162,OPP-4037,PRD-9022,Content Creation Package,Content Creation Package,flat fee,54308.16,1,54308.16,20.4,43229.3,1,2023-02-11
LI-5163,OPP-4037,PRD-9023,Analytics & Reporting,Analytics & Reporting,per month,12948.84,2,25897.68,1.2,25586.91,0,2023-02-11
LI-5164,OPP-4037,PRD-9017,Digital Marketing - Hourly,Digital Marketing,per hour,762.35,33,25157.55,2.6,24503.45,0,2023-02-11
LI-5165,OPP-4037,PRD-9018,Social Media Management,Social Media Management,per month,37033.17,2,74066.34,15.5,62586.06,1,2023-02-11
LI-5166,OPP-4038,PRD-9020,Branding & Identity,Branding & Identity,flat fee,23578.92,1,23578.92,1.8,23154.5,0,2017-08-03
LI-5167,OPP-4038,PRD-9018,Social Media Management,Social Media Management,per month,7500.03,6,45000.18,10.4,40320.16,1,2017-08-03
LI-5168,OPP-4038,PRD-9017,Digital Marketing - Hourly,Digital Marketing,per hour,100.26,14,1403.64,3.0,1361.53,0,2017-08-03
LI-5169,OPP-4038,PRD-9022,Content Creation Package,Content Creation Package,flat fee,10779.82,1,10779.82,3.0,10456.43,0,2017-08-03
LI-5170,OPP-4038,PRD-9019,Media Planning & Buying,Media Planning & Buying,flat fee,8067.69,1,8067.69,9.4,7309.33,1,2017-08-03
LI-5171,OPP-4038,PRD-9016,Campaign Strategy Fee,Campaign Strategy Fee,flat fee,26359.31,1,26359.31,15.1,22379.05,1,2017-08-03
LI-5172,OPP-4038,PRD-9023,Analytics & Reporting,Analytics & Reporting,per month,2927.71,4,11710.84,7.5,10832.53,1,2017-08-03
LI-5173,OPP-4038,PRD-9021,Event Marketing,Event Marketing,flat fee,14099.62,1,14099.62,2.5,13747.13,0,2017-08-03
LI-5174,OPP-4039,PRD-9019,Media Planning & Buying,Media Planning & Buying,flat fee,102702.12,1,102702.12,4.9,97669.72,0,2023-10-11
LI-5175,OPP-4039,PRD-9023,Analytics & Reporting,Analytics & Reporting,per month,14661.24,6,87967.44,5.9,82777.36,1,2023-10-11
LI-5176,OPP-4039,PRD-9021,Event Marketing,Event Marketing,flat fee,75569.17,1,75569.17,3.4,72999.82,0,2023-10-11
LI-5177,OPP-4039,PRD-9020,Branding & Identity,Branding & Identity,flat fee,113297.1,1,113297.1,21.5,88938.22,1,2023-10-11
LI-5178,OPP-4039,PRD-9016,Campaign Strategy Fee,Campaign Strategy Fee,flat fee,34611.2,1,34611.2,15.9,29108.02,1,2023-10-11
LI-5179,OPP-4039,PRD-9022,Content Creation Package,Content Creation Package,flat fee,29877.85,1,29877.85,3.6,28802.25,0,2023-10-11
LI-5180,OPP-4039,PRD-9017,Digital Marketing - Hourly,Digital Marketing,per hour,352.69,27,9522.63,21.6,7465.74,1,2023-10-11
LI-5181,OPP-4039,PRD-9018,Social Media Management,Social Media Management,per month,11613.14,4,46452.56,11.8,40971.16,1,2023-10-11
LI-5182,OPP-4040,PRD-9010,Director - Day Rate,Director,per day,4447.58,6,26685.48,12.6,23323.11,1,2023-07-18
LI-5183,OPP-4040,PRD-9015,Photography Package,Photography Package,flat fee,8169.35,1,8169.35,20.5,6494.63,1,2023-07-18
LI-5184,OPP-4040,PRD-9012,Content Writer - Day Rate,Content Writer,per day,1258.41,1,1258.41,18.7,1023.09,1,2023-07-18
LI-5185,OPP-4040,PRD-9014,Video Production Package,Video Production Package,flat fee,29026.48,1,29026.48,23.6,22176.23,1,2023-07-18
LI-5186,OPP-4040,PRD-9009,Scriptwriter - Project,Scriptwriter,flat fee,18360.28,1,18360.28,0.2,18323.56,0,2023-07-18
LI-5187,OPP-4041,PRD-9025,Royalty Agreement Setup,Royalty Agreement Setup,flat fee,125345.65,1,125345.65,16.5,104663.62,1,2016-06-06
LI-5188,OPP-4041,PRD-9029,Territory Rights Fee,Territory Rights Fee,flat fee,137061.26,1,137061.26,0.2,136787.14,0,2016-06-06
LI-5189,OPP-4041,PRD-9030,License Renewal Fee,License Renewal Fee,flat fee,650093.1,1,650093.1,4.4,621489.0,0,2016-06-06
LI-5190,OPP-4042,PRD-9003,Makeup Artist - Day Rate,Makeup Artist,per day,4942.76,9,44484.84,4.5,42483.02,0,2024-08-05
LI-5191,OPP-4042,PRD-9001,Photographer - Day Rate,Photographer,per day,9818.27,4,39273.08,7.8,36209.78,1,2024-08-05
LI-5192,OPP-4042,PRD-9005,Usage Rights - Print,Usage Rights,flat fee,18242.04,1,18242.04,11.9,16071.24,1,2024-08-05
